,language
346,"English, Français"
347,English
348,English
349,English
350,English
351,English
352,English
353,English
354,"English, Español"
355,"English, Français"
356,English
357,"English, Slovenčina"
358,Deutsch
359,English
360,English
361,English
362,"svenska, English"
363,English
364,English
365,English
366,English
367,English
368,English
369,"English, Latin"
370,English
371,English
372,English
373,English
374,English
375,"English, Français, العربية, Deutsch"
376,"English, Français, Tiếng Việt"
377,English
378,English
379,English
380,English
381,English
382,English
383,English
384,Français
385,English
386,English
387,English
388,"English, 日本語"
389,English
390,
391,English
392,English
393,
394,English
395,English
396,English
397,English
398,
399,
400,English
401,
402,English
403,"English, Français"
404,English
405,English
406,English
407,"English, Italiano"
408,English
409,English
410,English
411,"English, Pусский"
412,"Español, English"
413,English
414,English
415,English
416,English
417,English
418,English
419,English
420,"Français, English"
421,English
422,English
423,"English, Italiano"
424,English
425,English
426,"English, Español"
427,"English, Italiano, Pусский"
428,English
429,English
430,English
431,"Český, English"
432,"English, Magyar"
433,English
434,English
435,English
436,English
437,English
438,English
439,"English, Deutsch"
440,English
441,普通话
442,English
443,English
444,English
445,English
446,English
447,English
448,English
449,English
450,English
451,English
452,English
453,"English, Français"
454,English
455,English
456,English
457,English
458,English
459,English
460,"English, Tiếng Việt"
461,English
462,English
463,English
464,"Español, English"
465,English
466,English
467,English
468,English
469,English
470,English
471,English
472,English
473,"English, Français"
474,English
475,"English, Español"
476,English
477,"English, Français"
478,English
479,English
480,English
481,English
482,"English, Deutsch"
483,English
484,English
485,English
486,English
487,English
488,English
489,English
490,日本語
491,English
492,English
493,English
494,English
495,English
496,English
497,English
498,English
499,English
500,English
501,English
502,English
503,English
504,English
505,"English, Français"
506,English
507,English
508,English
509,English
510,English
511,"English, Español"
512,"日本語, English"
513,English
514,"English, 日本語"
515,English
516,English
517,"Português, Deutsch, English, 日本語, Tiếng Việt"
518,English
519,"English, Español"
520,English
521,"Français, Deutsch, Español"
522,"Deutsch, Polski, English"
523,English
524,English
525,English
526,English
527,English
528,English
529,English
530,English
531,English
532,English
533,English
534,English
535,English
536,"English, Deutsch, 日本語, Magyar"
537,English
538,"Pусский, English"
539,English
540,English
541,English
542,English
543,English
544,"Français, English"
545,English
546,English
547,English
548,"English, Latin, Español"
549,English
550,"English, Italiano"
551,English
552,"Dansk, English, Français, Deutsch, Español"
553,English
554,
555,English
556,English
557,Français
558,English
559,"English, Español"
560,English
561,Español
562,English
563,English
564,svenska
565,English
566,English
567,Italiano
568,English
569,English
570,
571,English
572,Italiano
573,English
574,English
575,Français
576,"العربية, English, Italiano, 普通话"
577,
578,"Italiano, Deutsch, English, Magyar"
579,English
580,English
581,English
582,"English, Español"
583,English
584,English
585,"English, Français"
586,English
587,English
588,"Français, English"
589,English
590,"English, Italiano, 日本語"
591,"Français, Pусский"
592,"English, Deutsch, Español"
593,English
594,普通话
595,
596,English
597,English
598,English
599,English
600,English
601,
602,"English, Magyar"
603,English
604,English
605,"English, Français"
606,
607,Italiano
608,English
609,Español
610,English
611,English
612,"Italiano, English"
613,Français
614,English
615,English
616,العربية
617,English
618,English
619,"English, Español"
620,English
621,English
622,English
623,"Català, English, Español"
624,English
625,English
626,English
627,English
628,English
629,English
630,English
631,English
632,Français
633,Deutsch
634,
635,Deutsch
636,Français
637,English
638,"English, Français, Český"
639,"Deutsch, Íslenska, 日本語, English"
640,English
641,Deutsch
642,
643,English
644,Deutsch
645,"English, Deutsch"
646,"English, Italiano"
647,"Afrikaans, English"
648,
649,"English, Français, Italiano"
650,English
651,English
652,English
653,English
654,English
655,"English, Français, Deutsch, Pусский, Srpski"
656,"Deutsch, svenska, English"
657,English
658,
659,
660,English
661,English
662,English
663,English
664,"Español, English"
665,
666,
667,English
668,Français
669,"English, Français"
670,"English, Português"
671,
672,English
673,"English, Pусский"
674,English
675,"English, Tiếng Việt"
676,Deutsch
680,English
681,English
682,
683,"Italiano, English"
684,English
685,English
686,English
687,English
688,
689,English
690,"Nederlands, Français, Latin, Español"
691,English
692,"English, Español"
693,English
694,English
695,English
696,English
697,English
698,English
699,English
700,English
701,English
702,"English, Español"
703,"English, Español"
704,"Français, Italiano"
705,English
706,Español
707,Français
708,English
709,
710,Italiano
711,English
712,English
713,English
714,English
715,"English, Deutsch"
716,English
717,"Español, English"
718,English
719,English
720,"English, Italiano"
721,English
722,English
723,Français
724,Deutsch
725,日本語
726,English
727,English
728,English
729,English
730,"English, Français"
731,English
732,English
733,English
734,English
735,"Deutsch, English"
736,English
737,English
738,English
739,"English, Português"
740,普通话
741,
742,English
743,"Deutsch, Pусский"
744,English
745,English
746,English
747,English
748,English
749,English
750,English
751,"English, Srpski"
752,Français
753,
754,"العربية, Français, Wolof"
755,Français
756,"English, Français, Deutsch, Italiano"
757,
758,English
759,English
760,"English, Français"
761,English
762,English
763,English
764,"Latin, English"
765,English
766,English
767,English
768,
769,English
770,Español
771,"English, Română"
772,Magyar
773,
774,
775,English
776,English
777,Français
778,English
779,English
780,"English, Español"
781,English
782,English
783,English
784,"English, Français"
785,English
786,English
787,Français
788,English
789,English
790,English
791,Magyar
792,English
793,English
794,English
795,English
796,English
797,
798,Français
799,Cymraeg
800,"Français, English"
801,Deutsch
802,Deutsch
803,
804,English
805,"English, Italiano"
806,English
807,English
808,English
809,English
810,English
811,English
812,English
813,English
814,English
815,English
816,"English, Deutsch"
817,English
818,Français
819,"English, Español"
820,
821,普通话
822,普通话
823,"English, Deutsch, 日本語"
824,English
825,English
826,English
827,Tiếng Việt
828,"English, Español"
829,English
830,English
831,日本語
832,Français
833,Italiano
834,
835,"English, Italiano, Latin"
836,Deutsch
837,"English, Bahasa melayu, ภาษาไทย"
838,English
839,日本語
843,English
844,English
845,English
846,English
847,English
848,English
849,English
850,普通话
851,Deutsch
852,English
853,
854,
855,English
856,
857,English
858,English
859,"English, Français, Español"
860,English
861,
862,English
863,English
864,English
865,English
866,"Nederlands, English"
867,
868,English
869,"English, Español"
870,"English, Deutsch"
871,Deutsch
872,Polski
873,Français
874,"Español, English"
875,English
876,English
877,"English, Français, Deutsch"
878,English
879,"English, Português"
880,English
881,English
882,English
883,English
884,"English, Français, Italiano"
885,English
886,English
887,English
888,"English, Français, Deutsch, Italiano"
889,"Deutsch, Français, Italiano, English"
890,English
891,English
892,"English, Italiano"
893,"English, Italiano"
894,English
895,English
896,English
897,English
898,English
899,English
900,English
901,"English, Pусский"
902,"English, Deutsch"
903,"English, Français"
904,"English, Français"
905,"English, Français"
906,"Nederlands, English, Latviešu"
907,English
908,English
909,"English, Français, Italiano, Português"
910,"Français, English"
911,"Italiano, English"
912,"Français, English"
913,English
914,"English, Français"
915,"English, Français"
916,English
917,English
918,"English, Español"
919,English
920,English
921,"English, 普通话, Español"
922,"English, Italiano"
923,English
924,"English, Magyar"
925,"English, Español"
926,English
927,English
928,English
929,"English, Español, Français"
930,English
931,English
932,English
933,English
934,English
935,English
936,English
937,English
938,English
939,English
940,English
941,English
942,English
943,"English, Italiano"
944,"English, Español"
945,English
946,"English, Deutsch, Kiswahili"
947,"Italiano, English"
948,English
949,"English, Magyar"
950,English
951,"English, Español"
952,English
953,English
957,English
958,
959,English
960,"English, Polski"
961,English
962,
963,English
964,
965,English
966,English
967,English
968,Deutsch
969,English
970,English
971,English
972,English
973,English
974,English
975,English
976,English
977,"English, Tiếng Việt"
978,"English, Español"
979,
980,
981,English
982,English
983,English
984,"English, Polski"
985,"English, Deutsch"
986,"Español, English"
987,English
988,"Español, English"
989,English
990,English
991,English
992,English
993,English
994,English
995,"English, Italiano"
996,English
997,English
998,"English, Français, Deutsch, Pусский"
999,"English, Français, Italiano, Español"
1000,English
1001,English
1002,"English, Português, Español"
1003,English
1004,English
1005,English
1006,English
1007,English
1008,English
1009,English
1010,English
1011,English
1012,English
1013,"English, Français, Italiano"
1014,"English, Deutsch, Italiano"
1015,English
1016,English
1017,English
1018,English
1019,English
1020,English
1021,English
1022,"English, Deutsch"
1023,English
1024,English
1025,English
1026,English
1027,English
1028,"Italiano, English"
1029,"English, Français"
1030,English
1031,English
1032,"English, Magyar"
1033,"Latin, English"
1034,English
1035,Español
1036,English
1037,English
1038,English
1039,English
1040,
1041,English
1042,English
1043,"English, Français"
1044,English
1045,English
1046,English
1047,"日本語, English"
1048,English
1049,"English, Français, Deutsch"
1050,Français
1051,English
1052,English
1053,English
1054,"English, Italiano, Pусский"
1055,English
1056,"English, Français"
1057,English
1058,"English, Italiano"
1059,English
1060,English
1061,English
1062,Italiano
1063,English
1064,English
1065,"English, Tiếng Việt"
1066,English
1067,English
1068,English
1069,English
1070,English
1071,"Český, English, Français, Deutsch, Polski, Pусский"
1072,English
1073,English
1074,English
1075,English
1076,English
1077,English
1078,English
1079,English
1080,English
1081,English
1082,Deutsch
1083,"български език, English"
1084,Français
1085,English
1086,English
1087,"Italiano, English"
1088,
1089,Français
1090,Français
1091,"English, Français"
1092,English
1093,English
1094,English
1095,
1096,English
1097,English
1098,English
1099,English
1100,English
1101,English
1102,English
1103,"Italiano, Français"
1104,Français
1105,Español
1106,English
1107,"Français, Latin, English"
1108,English
1109,
1110,English
1111,
1112,Français
1113,
1114,English
1115,
1116,English
1117,English
1118,"Pусский, Français, Deutsch, English, Italiano"
1119,Français
1120,"Český, Latin"
1121,English
1122,English
1123,"English, Italiano"
1124,Italiano
1125,Français
1126,
1127,
1128,English
1129,"Deutsch, Italiano, Polski, Pусский"
1130,"Latin, English, Français, Italiano, Deutsch"
1131,
1132,Français
1133,
1134,English
1135,English
1136,English
1137,English
1138,English
1139,Italiano
1140,English
1141,"English, Français"
1142,Français
1143,"Français, Italiano, Polski"
1144,"English, Italiano"
1145,"English, Deutsch, Latin"
1146,English
1147,English
1148,English
1149,"Deutsch, Italiano, العربية, English"
1150,"ελληνικά, Italiano, Español"
1151,English
1152,English
1153,English
1154,"Español, English"
1155,English
1156,Español
1157,"English, Français"
1158,English
1159,English
1160,English
1161,English
1162,English
1163,"English, Español, Deutsch, العربية"
1164,English
1165,English
1166,Italiano
1167,English
1168,English
1169,"العربية, English, Türkçe"
1170,English
1171,English
1172,"English, Français, Tiếng Việt"
1173,English
1174,English
1175,"English, Français, Deutsch"
1176,"English, Pусский, Deutsch"
1177,"Italiano, English"
1178,"English, Español"
1179,English
1180,"English, Français, Italiano"
1181,日本語
1182,"日本語, 普通话"
1183,English
1184,English
1185,"English, Italiano, Latin, Español"
1186,"English, Tiếng Việt"
1187,English
1188,"English, Français"
1189,"English, Deutsch, Italiano, Latin"
1190,"English, Gaeilge"
1191,"English, Français, Italiano"
1192,English
1193,"English, Deutsch"
1194,"English, Pусский"
1195,Pусский
1196,"Deutsch, English, Français"
1197,English
1198,English
1199,English
1200,svenska
1201,English
1202,English
1203,English
1204,English
1205,English
1206,English
1207,"Italiano, English"
1208,English
1209,English
1210,"English, Español"
1211,"English, Français, Italiano"
1212,"日本語, ภาษาไทย, English"
1213,"Deutsch, English, Français, Italiano"
1214,"Español, English"
1215,"English, Français, Pусский"
1216,English
1217,English
1218,English
1219,"English, Magyar"
1220,English
1221,English
1222,Deutsch
1223,English
1224,"English, Deutsch, Français, Pусский"
1225,"English, Français, Pусский, Tiếng Việt"
1226,"English, Français, Italiano"
1227,"English, Français, Italiano"
1228,English
1229,English
1230,English
1231,"English, Deutsch"
1232,English
1233,English
1234,English
1235,"English, Italiano"
1236,日本語
1237,English
1238,English
1239,Français
1240,"English, Deutsch"
1241,"English, suomi, Français, Deutsch, Italiano"
1242,普通话
1243,"English, Esperanto"
1244,English
1245,English
1246,English
1247,"English, Italiano"
1248,English
1249,English
1250,English
1251,English
1252,English
1253,"Deutsch, ελληνικά, English"
1254,English
1255,English
1256,English
1257,"English, Italiano"
1258,English
1259,English
1260,"Português, English, Français, Magyar"
1261,svenska
1262,English
1263,English
1264,English
1265,"English, Español"
1266,English
1267,"English, Français, Deutsch, Italiano, 日本語"
1268,English
1269,English
1270,English
1271,English
1272,English
1273,English
1274,English
1275,English
1276,
1277,English
1278,English
1279,
1280,English
1281,English
1282,"English, Português"
1283,English
1284,English
1285,English
1286,English
1287,English
1288,"English, Italiano"
1289,English
1290,English
1291,English
1292,"English, Español"
1293,English
1294,English
1295,English
1296,English
1297,English
1298,"Latin, Română, български език, ελληνικά, English"
1299,English
1300,English
1301,English
1302,English
1303,English
1304,English
1305,English
1306,English
1307,
1308,Italiano
1309,"English, Italiano, Latin"
1310,English
1311,English
1312,English
1313,English
1314,English
1315,English
1316,English
1317,English
1318,English
1319,"English, Français, Italiano"
1320,English
1321,"English, Español"
1322,Norsk
1323,Français
1324,English
1325,English
1326,
1327,"English, Français, Pусский"
1328,"English, Español"
1329,English
1330,English
1331,English
1332,English
1333,"English, Pусский"
1334,"English, suomi"
1335,English
1336,English
1337,English
1338,English
1339,English
1340,English
1341,English
1342,English
1343,English
1344,"English, Español"
1345,English
1346,English
1347,English
1348,English
1349,"English, Français"
1350,English
1351,"English, Polski"
1352,English
1353,English
1354,"English, 普通话, Pусский"
1355,English
1356,"English, Italiano"
1357,"English, Español"
1358,English
1359,English
1360,English
1361,"Český, English"
1362,"Français, Deutsch"
1363,English
1364,"English, Français"
1365,"English, Português"
1366,English
1367,English
1368,"English, Gaeilge"
1369,English
1370,English
1371,Français
1372,"English, Español"
1373,"Italiano, English"
1374,English
1375,English
1376,English
1377,
1378,"English, Deutsch"
1379,English
1380,English
1381,English
1382,English
1383,"English, Pусский, Український, 普通话"
1384,
1385,English
1386,English
1387,
1388,English
1389,English
1390,English
1391,English
1392,"English, Español"
1393,"English, Português"
1394,English
1395,
1396,Español
1397,English
1398,"Český, Pусский, Slovenčina"
1399,English
1400,
1401,English
1402,Pусский
1403,English
1404,English
1405,English
1406,English
1407,English
1408,English
1409,"English, Español"
1410,"English, Français"
1411,English
1412,
1413,"English, Français"
1414,English
1415,English
1416,"日本語, English, Italiano"
1417,Français
1418,English
1419,English
1420,
1421,"English, Español"
1422,English
1423,English
1424,English
1425,English
1426,English
1427,"English, Pусский"
1428,English
1429,English
1430,"English, svenska"
1431,English
1432,English
1433,English
1434,"Español, English"
1435,English
1436,"English, Deutsch"
1437,English
1438,English
1439,English
1440,English
1441,English
1442,English
1443,English
1444,English
1445,English
1446,English
1447,"Español, English"
1448,English
1449,
1450,English
1451,English
1452,English
1453,"Pусский, Français, ქართული"
1454,"English, Français, Magyar"
1455,普通话
1456,"Deutsch, Español, English"
1457,English
1458,English
1459,English
1460,"English, 日本語"
1461,English
1462,English
1463,English
1464,English
1465,"English, 普通话"
1466,English
1467,"English, svenska, Deutsch"
1468,English
1469,English
1470,English
1471,English
1472,Français
1473,"English, Pусский"
1474,日本語
1475,English
1476,"English, Cymraeg"
1477,English
1478,English
1479,
1480,English
1481,Français
1482,"English, Français, Italiano, 日本語"
1483,English
1484,English
1485,English
1486,"English, Français"
1487,English
1488,English
1489,
1490,"English, Français, Italiano, 日本語, 普通话"
1491,Français
1492,"English, Português"
1493,
1494,English
1495,
1496,English
1497,English
1498,English
1499,English
1500,English
1501,"English, Español, ελληνικά"
1502,English
1503,English
1504,"English, Français, Italiano"
1505,日本語
1506,Français
1507,"English, Français, Deutsch, Italiano"
1508,"English, Latin"
1509,English
1510,فارسی
1511,Français
1512,English
1513,Français
1514,"English, Español"
1515,English
1516,English
1517,English
1518,English
1519,English
1520,English
1521,English
1522,"English, Español"
1523,English
1524,"English, Latin"
1525,English
1526,English
1527,"English, Français"
1528,English
1529,"Český, English"
1530,English
1531,English
1532,English
1533,English
1534,English
1535,English
1536,English
1537,"English, Italiano"
1538,English
1539,English
1540,English
1541,"English, Pусский"
1542,"English, Español"
1543,"English, Pусский"
1544,English
1545,English
1546,"English, Español"
1547,English
1548,"English, Français, Pусский"
1549,"English, Pусский, Srpski, Bosanski, Hrvatski"
1550,English
1551,English
1552,"English, 普通话"
1553,"Italiano, English"
1554,English
1555,English
1556,English
1557,"Deutsch, English"
1558,English
1559,English
1560,English
1561,English
1562,Français
1563,English
1564,English
1565,English
1566,English
1567,English
1568,English
1569,English
1570,English
1571,English
1572,English
1573,"English, Français, Deutsch, Italiano, 普通话, Español"
1574,English
1575,"English, Français, Pусский"
1576,English
1577,English
1578,"Français, English"
1579,English
1580,English
1581,"English, Esperanto"
1582,English
1583,English
1584,English
1585,English
1586,English
1587,English
1588,English
1589,English
1590,English
1591,"English, Pусский, Polski"
1592,Français
1593,English
1594,English
1595,English
1596,English
1597,"English, Français, Deutsch, Español"
1598,"Bosanski, Srpski, English"
1599,"Español, English"
1600,English
1601,English
1602,"Deutsch, English"
1603,English
1604,English
1605,English
1606,"English, Français, 普通话"
1607,English
1608,English
1609,English
1610,English
1611,"English, Italiano"
1612,English
1613,
1614,"English, 普通话"
1615,"English, Pусский"
1616,"English, Pусский, Français"
1617,English
1618,English
1619,English
1620,"English, Español"
1621,English
1622,Français
1623,English
1624,English
1625,Français
1626,"Gaeilge, English"
1627,English
1628,English
1629,English
1630,English
1631,English
1632,
1633,"Polski, English"
1634,
1635,
1636,English
1637,English
1638,
1639,English
1640,
1641,English
1642,English
1643,"English, Español"
1644,English
1645,"English, Français, Deutsch, svenska, Italiano, Pусский"
1646,"Deutsch, English, Dansk, 普通话"
1647,English
1648,Français
1649,English
1650,"English, Français"
1651,English
1652,English
1653,English
1654,"English, 普通话"
1655,English
1656,"English, Español, Deutsch"
1657,"English, Français"
1658,Français
1659,English
1660,"English, Français, Deutsch"
1661,English
1662,English
1663,
1664,English
1665,"English, Português"
1666,"shqip, English"
1667,English
1668,English
1669,English
1670,English
1671,"English, Türkçe"
1672,English
1673,English
1674,"English, Deutsch"
1675,普通话
1676,"English, Português"
1677,English
1678,English
1679,
1680,English
1681,English
1682,Pусский
1683,"Český, English"
1684,"Français, English, Italiano"
1685,English
1686,"Pусский, English"
1687,"English, 日本語"
1688,English
1689,English
1690,English
1691,English
1692,"English, Español"
1693,
1694,"English, Deutsch, Pусский"
1695,English
1696,"English, Español"
1697,
1698,English
1699,English
1700,English
1701,English
1702,English
1703,Español
1704,English
1705,English
1706,English
1707,English
1708,English
1709,English
1710,English
1711,"English, Español"
1712,English
1713,日本語
1714,English
1715,English
1716,English
1717,"English, Français"
1718,English
1719,English
1720,English
1721,
1722,English
1723,English
1724,English
1725,English
1726,English
1727,English
1728,English
1729,"English, 普通话"
1730,English
1731,"日本語, English"
1732,English
1733,English
1734,"English, Polski"
1735,English
1736,"Español, English"
1737,English
1738,English
1739,English
1740,English
1741,"English, Français"
1742,Español
1743,English
1744,English
1745,English
1746,English
1747,English
1748,English
1749,English
1750,English
1751,"English, Pусский"
1752,English
1753,English
1754,English
1755,"English, Italiano"
1756,"普通话, English"
1757,فارسی
1758,"Nederlands, English, Français, Deutsch"
1759,Bokmål
1760,English
1761,"English, Italiano"
1762,English
1763,"English, Français, Italiano"
1764,English
1765,English
1766,English
1767,English
1768,Український
1769,English
1770,"English, Français, Español"
1771,English
1772,English
1773,English
1774,
1775,English
1776,English
1777,English
1778,English
1779,"English, Français, 日本語, Pусский, Español"
1780,English
1781,English
1782,English
1783,English
1784,English
1785,English
1786,"Norsk, svenska"
1787,English
1788,English
1789,"العربية, English"
1790,Deutsch
1791,"English, Deutsch, ภาษาไทย"
1792,English
1793,English
1794,English
1795,English
1796,English
1797,فارسی
1798,
1799,English
1800,English
1801,English
1802,Français
1803,English
1804,"English, 普通话"
1805,English
1806,English
1807,English
1808,English
1809,English
1810,"English, Français"
1811,English
1812,"Français, Português"
1813,English
1814,"English, Pусский"
1815,"English, 普通话"
1816,English
1817,"English, Français, Magyar, Español"
1818,English
1819,English
1820,English
1821,English
1822,English
1823,English
1824,"English, Français, Deutsch, Latin"
1825,"English, Français"
1826,English
1827,English
1828,"English, Magyar"
1829,English
1830,English
1831,"English, Pусский"
1832,"English, Cymraeg"
1833,"English, Deutsch"
1834,English
1835,English
1836,English
1837,English
1838,English
1839,English
1840,"English, Deutsch"
1841,English
1842,English
1843,English
1844,English
1845,English
1846,"English, Français, Latin, Español"
1847,English
1848,English
1849,"English, Italiano"
1850,"English, Français"
1851,English
1852,English
1853,English
1854,"English, Français"
1855,English
1856,"English, Kiswahili"
1857,"Český, English, 日本語, 普通话, Pусский"
1858,"Italiano, English"
1859,"English, Magyar, Polski"
1860,English
1861,English
1862,English
1863,English
1864,English
1865,English
1866,English
1867,English
1868,English
1869,English
1870,English
1871,English
1872,English
1873,English
1874,"English, Español"
1875,English
1876,English
1877,English
1878,English
1879,English
1880,English
1881,English
1882,English
1883,English
1884,English
1885,English
1886,English
1887,English
1888,English
1889,"English, Türkçe"
1890,"Český, English"
1891,English
1892,English
1893,English
1894,"Deutsch, Français, Latin, العربية, ελληνικά, English"
1895,"English, Français, Español"
1896,"English, Italiano"
1897,English
1898,"English, Afrikaans"
1899,English
1900,"English, Español"
1901,English
1902,"English, Italiano, Español"
1903,English
1904,English
1905,English
1906,English
1907,No Language
1908,English
1909,English
1910,English
1911,English
1912,English
1913,English
1914,English
1915,English
1916,日本語
1917,English
1918,"English, Italiano"
1919,English
1920,"English, Italiano, Deutsch, Latin"
1921,English
1922,English
1923,English
1924,"Italiano, English"
1925,"Český, Deutsch, English, Français"
1926,English
1927,普通话
1928,English
1929,English
1930,English
1931,English
1932,English
1933,English
1934,English
1935,English
1936,English
1937,English
1938,English
1939,"English, Íslenska"
1940,English
1941,
1942,English
1943,English
1944,"Italiano, English"
1945,English
1946,English
1947,"Español, English"
1948,"Français, English"
1949,English
1950,English
1951,English
1952,English
1953,English
1954,English
1955,English
1956,"English, Português"
1957,English
1958,English
1959,English
1960,Français
1961,English
1962,English
1963,English
1964,"English, Pусский"
1965,"English, Deutsch, svenska"
1966,English
1967,English
1968,English
1969,English
1970,English
1971,English
1972,"English, Deutsch, Magyar"
1973,English
1974,"English, Français, Deutsch"
1975,English
1976,English
1977,English
1978,"English, Français"
1979,English
1980,English
1981,English
1982,English
1983,"English, Italiano"
1984,English
1985,English
1986,"Dansk, English, Norsk, svenska"
1987,English
1988,English
1989,English
1990,English
1991,English
1992,"English, Deutsch"
1993,English
1994,English
1995,English
1996,English
1997,"English, Italiano"
1998,English
1999,English
2000,English
2001,English
2002,English
2003,English
2004,English
2005,English
2006,English
2007,English
2008,English
2009,English
2010,English
2011,English
2012,English
2013,English
2014,English
2015,"English, Pусский"
2016,English
2017,English
2018,"English, Magyar"
2019,"English, Português, Español"
2020,English
2021,English
2022,English
2023,"Český, English"
2024,English
2025,English
2026,Deutsch
2027,"English, Français"
2028,"English, svenska"
2029,"English, Latin"
2030,English
2031,English
2032,"English, Pусский"
2033,"English, Français"
2034,
2035,English
2036,English
2037,"English, Italiano"
2038,English
2039,English
2040,"English, Italiano"
2041,English
2042,English
2043,English
2044,English
2045,English
2046,"Český, English"
2047,"Afrikaans, English"
2048,"Afrikaans, English"
2049,English
2050,English
2051,English
2052,English
2053,Italiano
2054,"Magyar, English, Français"
2055,English
2056,English
2057,English
2058,English
2059,"English, Deutsch"
2060,English
2061,"English, Italiano, Pусский"
2062,English
2063,English
2064,"Pусский, English"
2065,English
2066,English
2067,English
2068,English
2069,English
2070,English
2071,English
2072,English
2073,English
2074,English
2075,English
2076,"English, Français, Pусский, Español"
2077,"English, Deutsch, Norsk, svenska"
2078,"English, Español"
2079,"English, Italiano, Español"
2080,"العربية, English, Français, Italiano"
2081,English
2082,"English, Français, Deutsch, Italiano"
2083,"Français, English"
2084,English
2085,English
2086,English
2087,English
2088,
2089,"English, Français"
2090,English
2091,English
2092,English
2093,"English, Italiano"
2094,"English, Français"
2095,English
2096,English
2097,English
2098,English
2099,"English, Français, Deutsch"
2100,English
2101,English
2102,English
2103,English
2104,English
