,name_production_company,revenue
192,Spring Creek Productions,50892160.0
193,,113374103.0
194,Malpaso Productions,0.0
195,Lightstorm Entertainment,7959291.0
196,"Beta Film, Madeleine Films, Parc Film",0.0
197,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications",5780000.0
198,Savoy Pictures,7025496.0
199,"FIT Productions, Portman Productions",339889.0
200,"Universal Pictures, Amblin Entertainment",47774193.0
201,"Regency Enterprises, Cutting Edge Films",104324083.0
202,Hollywood Pictures,0.0
203,,0.0
204,"Twentieth Century Fox Film Corporation, Zucker Brothers Productions",50012507.0
205,"Universal Pictures, Gordon Company, Davis Entertainment",264218220.0
206,"HBO, A BandApart, Rysher Entertainment",0.0
207,United Artists,0.0
208,Paramount Pictures,0.0
209,Twentieth Century Fox Film Corporation,0.0
210,"Studio Trite, Caméra One",2616503.0
211,"PolyGram Audiovisuel, British Screen Productions",763847.0
212,Detour Film Production,5535405.0
213,Jack Giarraputo Productions,26488734.0
214,Spelling Films International,0.0
215,"Regency Enterprises, Alcor Films, New Regency Pictures, Hera Productions",23450000.0
216,"Universal Pictures, Island World",0.0
217,Full Moon Entertainment,0.0
218,"The Rank Organisation, Bórd Scannán na hÉireann, Lantana, Price Entertainment",0.0
219,"Miramax Films, View Askew Productions",3151130.0
220,"New Line Cinema, American Zoetrope",22200000.0
221,Baltimore Pictures,214015089.0
222,"Keystone Pictures, Dream Man Productions Inc",0.0
223,Paramount Pictures,0.0
224,"Savoy Pictures, Rysher Entertainment",0.0
225,"Fine Line Features, Channel Four Films, Capitol Films, TF1 Films Production, Flach Film",0.0
226,"Castle Rock Entertainment, Columbia Pictures Corporation",0.0
227,New Line Cinema,247275374.0
228,"Ang Lee Productions, Good Machine, Central Motion Pictures",7294403.0
229,"Miramax Films, Alliance Entertainment, Ego Film Arts",0.0
230,Savoy Pictures,6841570.0
231,Touchstone Pictures,5887457.0
232,"Twentieth Century Fox Film Corporation, PolyGram Filmed Entertainment, Working Title Films, Prufrock Pictures",0.0
233,"Columbia Pictures, Castle Rock Entertainment",0.0
234,Twentieth Century Fox Film Corporation,0.0
235,Walt Disney Pictures,35348597.0
236,TriStar Pictures,12201255.0
237,,0.0
238,"Italian International Film, Stéphan Films, MG",0.0
239,,3992809.0
240,,0.0
241,Miramax Films,0.0
242,"Fine Line Features, Kartemquin Films",7830611.0
243,"WingNut Films, Miramax Films, New Zealand Film Commission, Fontana Productions",3049135.0
244,"Caravan Pictures, Hollywood Pictures",26325256.0
245,"Columbia Pictures, Majestic Films International, Icon Entertainment International",0.0
246,"Walt Disney Pictures, Caravan Pictures",17689177.0
247,Universal Pictures,0.0
248,Paramount Pictures,0.0
249,Geffen Pictures,223664608.0
250,"Merchant Ivory Productions, Touchstone Pictures",2474000.0
251,"Caravan Pictures, Touchstone Pictures",0.0
252,"Universal Pictures, Northern Lights Entertainment",37000000.0
253,"Fountainbridge Films, Lee Rich Productions",0.0
254,"Walt Disney Pictures, Trimark Pictures",0.0
255,Twentieth Century Fox Film Corporation,0.0
256,"Lucasfilm, Twentieth Century Fox Film Corporation",775398007.0
257,Columbia Pictures,0.0
258,,0.0
259,"Channel Four Films, Parallax Pictures",0.0
260,MK2 Productions,0.0
261,"Aviacsa, Cinevista",21665468.0
262,"Bedford Falls Productions, TriStar Pictures, Pangaea",160638883.0
263,Universal Pictures,0.0
264,"Fine Line Features, New Line Cinema, Live Entertainment",0.0
265,"Channel Four Films, Cineville",0.0
266,,0.0
267,Paramount Pictures,7603766.0
268,"Channel Four Films, Samuel Goldwyn Company, Close Call Films",0.0
269,"American Zoetrope, TriStar Pictures",112006296.0
270,Walt Disney Pictures,0.0
271,TriStar Pictures,0.0
272,Paramount Pictures,18137661.0
273,Twentieth Century Fox Film Corporation,46264384.0
274,Hollywood Pictures,5.0
275,"American Zoetrope, American Playhouse, Majestic Films International, Newcomb Productions",0.0
276,Wolper Organization,17381942.0
277,"Paramount Pictures, Capella International, Cinehaus",0.0
278,"Twentieth Century Fox Film Corporation, Egg Pictures, PolyGram Filmed Entertainment",106683817.0
279,,0.0
280,"TOEI, Distant Justice Joint Venture",0.0
281,Metrodome Films,0.0
282,"Filmwerks, Imperial Entertainment",0.0
283,Triumph Films,0.0
284,"Regency Enterprises, Alcor Films, Ixtlan, New Regency Pictures, J D Productions",50282766.0
285,TriStar Pictures,0.0
286,"Avalon Studios, New Zealand Film Commission, New Zealand On Air",2201126.0
287,"New Line Cinema, CineTel Pictures, MG Entertainment",0.0
288,"Kopelson Entertainment, Punch Productions, Arnold Kopelson Productions",189859560.0
289,"Columbia Pictures, Gaumont",45284974.0
290,,2832826.0
291,Hollywood Pictures,0.0
292,"Miramax Films, A Band Apart, Jersey Films",213928762.0
293,"Polygram Filmed Entertainment, MVP Films",6834525.0
294,Ang Lee Productions,152322.0
295,"BBC Films, PolyGram Filmed Entertainment, Miramax",4176932.0
296,"Wildwood Enterprises, Hollywood Pictures, Baltimore Pictures",0.0
297,"Cecile Company, Thousand Cranes Filmworks",0.0
298,"Renn Productions, Eurimages, France2 Cinéma, WMG Film, Miramax",0.0
299,TriStar Pictures,18552460.0
300,"Hollywood Pictures, Interscope Communications",12400000.0
301,Miramax Films,11300653.0
302,"Zespół Filmowy TOR, France 3 Cinéma",0.0
303,"France 3 Cinéma, CED Productions",0.0
304,"France 3 Cinéma, Eurimages",0.0
305,,0.0
306,,0.0
307,"Allegro Films, Norstar Entertainment, west wind entertainment",0.0
308,Paramount Pictures,0.0
309,Rich Animation Studios,9771658.0
310,"Jones Entertainment Group, Skerry Productions",0.0
311,"Jerry Weintraub Productions, Iguana Producciones",170362582.0
312,"Centropolis Entertainment, StudioCanal, Carolco Entertainment",196567262.0
313,"Walt Disney Pictures, Hollywood Pictures",189833357.0
314,Castle Rock Entertainment,28341469.0
315,"Channel Four Films, Figment Films, The Glasgow Film Fund, PolyGram Filmed Entertainment",0.0
316,Kino Korsakoff,102780.0
317,"Miramax Films, Tabasco films, TeleMadrid",0.0
318,"Cineville, Trimark Pictures",0.0
319,Samuel Goldwyn Company,0.0
320,"New Line Cinema, 1992 Number Four Limited Partnership, MHA",0.0
321,"Shanghai Film Studios, Era International Ltd",0.0
322,Trilogy Entertainment Group,4064495.0
323,"Universal Pictures, Tales From The Crypt Holdings",0.0
324,Paramount Pictures,120000000.0
325,Savoy Pictures,12000000.0
326,,0.0
327,Universal Pictures,0.0
328,Paramount Pictures,32648673.0
329,Sony Pictures Classics,0.0
330,Populist Pictures,0.0
331,"Savoy Pictures, Price Entertainment",0.0
332,Paramount Pictures,10032765.0
333,Paramount Pictures,24048000.0
334,"Caravan Pictures, Hollywood Pictures",182057016.0
335,Universal Pictures,0.0
336,"Fine Line Features, Téléfilm Canada, First Generation Films, British Columbia Film Commission",759393.0
337,"Ciby 2000, Film Victoria",15119639.0
338,"Columbia Pictures Corporation, Beacon Pictures",0.0
339,Morgan Creek Productions,107217396.0
340,PolyGram Filmed Entertainment,11220670.0
341,Gramercy Pictures,0.0
342,"Fine Line Features, Columbia Pictures Corporation, Les Films Alain Sarde, Timothy Burrill Productions",1862805.0
343,Miramax Films,0.0
344,"Paramount Pictures, Mace Neufeld Productions",215887717.0
345,"Regency Enterprises, Alcor Films",117615211.0
346,New Line Cinema,0.0
347,Universal Pictures,0.0
348,"Miramax Films, Entertainment Media Investment Corporation, Jeff Most Productions",94000000.0
349,"Regency Enterprises, Alcor Films, Aleor Films",1007583.0
350,"Universal Pictures, Amblin Entertainment",341631208.0
351,Paramount Pictures,677945399.0
352,"Channel Four Films, PolyGram Filmed Entertainment, Working Title Films",254700832.0
353,"Columbia Pictures Corporation, New Deal Productions",38290723.0
354,"Columbia Pictures Corporation, Think Again Productions, Riot of Color",1777020.0
355,"Caravan Pictures, Touchstone Pictures",61947267.0
356,TriStar Pictures,0.0
357,,0.0
358,"Channel Four Films, Arte, Nomad Films, Omega Film GmbH, Without Walls",449707.0
359,"Walt Disney Pictures, Walt Disney Feature Animation",788241776.0
360,Miramax Films,4858139.0
361,New Line Cinema,18090181.0
362,"New Line Cinema, Dark Horse Entertainment",351583407.0
363,Icon Entertainment International,0.0
364,"Fine Line Features, Miramax Films",0.0
365,Paramount Pictures,51132598.0
366,"Imagine Entertainment, Universal Pictures",0.0
367,"Universal Pictures, Jersey Films",20079850.0
368,"Propaganda Films, PolyGram Filmed Entertainment",2000000.0
369,"Davis Entertainment, Silver Pictures",0.0
370,New Line Cinema,0.0
371,"Universal Pictures, David Foster Productions",0.0
372,Twentieth Century Fox Film Corporation,350448145.0
373,,0.0
374,"Universal Pictures, Renaissance Pictures, Dark Horse Entertainment, Largo Entertainment, Signature Pictures, JVC Entertainment Networks",101646581.0
375,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment",378882411.0
376,Touchstone Pictures,50021959.0
377,Columbia Pictures,0.0
378,"Tig Productions, Kasdan Pictures",25052000.0
379,"Touchstone Pictures, Tool Shed Productions",0.0
380,"BBC Films, Majestic Films International, Little Bird",953.0
381,"Gramercy Pictures, PolyGram Filmed Entertainment",0.0
382,"Caravan Pictures, Hollywood Pictures",29392418.0
383,"Strand Releasing, Strand Home Video",0.0
384,,0.0
385,,0.0
386,,20851521.0
387,"Bolex Brothers, Lumen Films, Tara",0.0
388,"Universal Pictures, Capcom",99423521.0
389,"Propaganda Films, Polygram Filmed Entertainment, Snowback Productions",0.0
390,,0.0
391,"Live Entertainment, Capitol Films, Bates Entertainmant",0.0
392,Devin Entertainment,0.0
393,"Walt Disney Pictures, Theodore Thomas Productions",0.0
394,Overseas FilmGroup,0.0
395,"Skyline Entertainment Partners, Arrow",0.0
396,,0.0
397,,0.0
398,,0.0
399,,0.0
400,"Initial Groupe, Lumière Pictures, Fallingcloud",36800000.0
401,,0.0
402,New Line Cinema,8946600.0
403,New Line Cinema,0.0
404,New Line Cinema,0.0
405,"Paramount Pictures, Orion Pictures, Scott Rudin Productions",48919043.0
406,HBO Independent Productions,0.0
407,Columbia Pictures,32255440.0
408,"Twentieth Century Fox Film Corporation, Island World, Robert Simonds Productions",0.0
409,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications, NBB Unit One Film Partners, Longview Entertainment",21011500.0
410,Touchstone Pictures,0.0
411,Twentieth Century Fox Film Corporation,15240435.0
412,"Fine Line Features, Castle Rock Entertainment, Barcelona Films",0.0
413,"Enigma Productions, BSB, NatWest Ventures, Fujisankei",0.0
414,Twentieth Century Fox Film Corporation,0.0
415,"Paramount Pictures, Eddie Murphy Productions",119208989.0
416,,0.0
417,New Line Cinema,16668552.0
418,Trilogy Entertainment Group,30156002.0
419,Paramount Pictures,0.0
420,"Orion Pictures Corporation, Heathrow Productions",0.0
421,Dorset Productions,428868.0
422,Mainline Pictures,1796389.0
423,"HBO Films, Savoy Pictures",17287898.0
424,Touchstone Pictures,3662459.0
425,"Columbia Pictures, Parkway Productions",2570145.0
426,"Universal Pictures, Epic Productions",36516012.0
427,"Columbia Pictures, Castle Rock Entertainment",0.0
428,,7355425.0
429,"TriStar Pictures, Carolco Pictures, RCS Video, Cliffhanger Productions, Pioneer",255000211.0
430,Paramount Pictures,0.0
431,"Hollywood Pictures, Cinergi Pictures Entertainment",19726050.0
432,TriStar Pictures,0.0
433,"Imagine Entertainment, Universal Pictures",0.0
434,"Maverick Picture Company, Eye Productions, Pentamerica",0.0
435,Northern Lights Entertainment,63000000.0
436,"Gramercy Pictures, Alphaville Productions, The Criterion Collection",7993039.0
437,Silver Pictures,159055768.0
438,,0.0
439,Fine Line Features,0.0
440,,0.0
441,"Beijing Film Studio, Maverick Picture Company",0.0
442,"Orion Pictures, Nelson Entertainment",0.0
443,Spring Creek Productions,0.0
444,,0.0
445,Spring Creek Productions,0.0
446,"Paramount Pictures, Spring Creek Productions, Mirage",9488998.0
447,Fine Line Features,0.0
448,"Universal Studios, Imagine Entertainment",11146270.0
449,"Paramount Pictures, Mirage Enterprises, Davis Entertainment",270248367.0
450,"Canal Plus, Regency Enterprises, Alcor Films",153698625.0
451,Miramax Films,0.0
452,,368875760.0
453,Columbia Pictures,18635620.0
454,"Universal Pictures, Largo Entertainment",30.0
455,,0.0
456,"Killer Films, The Samuel Goldwyn Company, Can I Watch, Islet, KPVI",0.0
457,Gramercy Pictures,0.0
458,Hollywood Pictures,22886222.0
459,"Universal Pictures, Renaissance Pictures, Alphaville Films",74189677.0
460,Regency Enterprises,0.0
461,Twentieth Century Fox Film Corporation,133752825.0
462,"Spelling Entertainment, IRS Media",0.0
463,"Miramax Films, Parallax Pictures",0.0
464,"Det Danske Filminstitut, Spring Creek Productions, Eurimages, Costa do Castelo Filmes, Neue Constantin Film, House of Spirits Film",0.0
465,,0.0
466,"PolyGram Filmed Entertainment, Silver Pictures, Working Title Films, PolyGram Filmproduktion",0.0
467,"Gracie Films, Columbia Pictures Corporation",0.0
468,Hollywood Pictures,28881266.0
469,"Castle Rock Entertainment, Columbia Pictures Corporation",176997168.0
470,Universal Pictures,65796862.0
471,Touchstone Pictures,8880705.0
472,Touchstone Pictures,0.0
473,"Paramount Pictures, Baltimore Pictures",0.0
474,"Universal Pictures, Largo Entertainment, JVC Entertainment Networks",12136938.0
475,"Universal Pictures, Amblin Entertainment",920100000.0
476,Propaganda Films,2395231.0
477,Live Entertainment,418961.0
478,Gramercy Pictures,0.0
479,Paramount Pictures,0.0
480,"Columbia Pictures Corporation, Oak Productions",137298489.0
481,Touchstone Pictures,0.0
482,Savoy Pictures,0.0
483,Geffen Pictures,1499795.0
484,Regency Enterprises,0.0
485,"Columbia Pictures, New Line Cinema, Castle Rock Entertainment, Nelvana Limited",46405336.0
486,Icon Entertainment International,24760338.0
487,TriStar Pictures,11285588.0
488,New Line Cinema,27900000.0
489,Silver Pictures,121969216.0
490,"Argos Films, Oshima Productions, Shibata Organisation",0.0
491,"The Samuel Goldwyn Company, Good Machine",0.0
492,"Renaissance Films, American Playhouse Theatrical Films",0.0
493,"TriStar Pictures, Rastar Films",0.0
494,The Samuel Goldwyn Company,0.0
495,"Twentieth Century Fox Film Corporation, Blue Wolf",441286195.0
496,"Thin Man Films, The Criterion Collection",0.0
497,Columbia Pictures Corporation,15826984.0
498,"Regency Enterprises, Alcor Films, Ixtlan, New Regency Pictures",0.0
499,"Columbia Pictures Corporation, Pacific Western, Allied Filmmakers, Platinum Pictures",15340000.0
500,"Columbia Pictures, New Line Cinema, Castle Rock Entertainment",0.0
501,"Mikado Film, Lenfilm Studio, Adventure Pictures",0.0
502,Malpaso Productions,135130999.0
503,"TriStar Pictures, Clinica Estetico",206678440.0
504,"The Australian Film Commission, CiBy 2000, Jan Chapman Productions",116700000.0
505,Columbia Pictures,27515786.0
506,Touchstone Pictures,23042200.0
507,Hollywood Pictures,8638072.0
508,Universal Pictures,0.0
509,Touchstone Pictures,11439193.0
510,"Columbia Pictures, Merchant Ivory Productions",23237911.0
511,"Cinergi Pictures Entertainment, Touchstone Pictures",24332324.0
512,Twentieth Century Fox Film Corporation,107198790.0
513,"Columbia Pictures, Beacon Pictures",0.0
514,Orion Pictures,10696210.0
515,"Gaumont, Twentieth Century Fox Film Corporation, Brooksfilms",35739755.0
516,"Working Title Films, Polygram Filmed Entertainment, Hilary Henkin",3275585.0
517,"The Australian Film Commission, Film Victoria, Seon Film Productions",0.0
518,Ruby in Paradise,1001437.0
519,TriStar Pictures,22750363.0
520,Nessa Hyams,0.0
521,"Société Nouvelle de Cinématographie, La Sept Cinéma",0.0
522,"Universal Pictures, Amblin Entertainment",321365567.0
523,Twentieth Century Fox Film Corporation,0.0
524,Mirage Enterprises,7266383.0
525,"Regency Enterprises, Alcor Films, Fron Film Production",0.0
526,American Zoetrope,0.0
527,"Savoy Pictures, Polar Entertainment",7820688.0
528,Universal Pictures,48063435.0
529,"Shadowlands Productions, Savoy Pictures",0.0
530,"Fine Line Features, Spelling Entertainment, Avenue Entertainment",6110979.0
531,Touchstone Pictures,0.0
532,"Miramax Films, British Screen Finance Ltd, Samson Productions II",7770731.0
533,"New Regency Pictures, Maiden Movies",0.0
534,TriStar Pictures,227799884.0
535,"Paramount Pictures, Robert Evans Company",116300000.0
536,"Shaw Brothers, The Ladd Company",33139618.0
537,Hollywood Pictures,36448200.0
538,TriStar Pictures,11585483.0
539,Columbia Pictures Industries,0.0
540,,0.0
541,"Hollywood Pictures, Cinergi Pictures Entertainment, Allied Filmmakers, Walt Disney, Nintendo",20915465.0
542,New Line Cinema,7690013.0
543,"Hollywood Pictures, PolyGram Filmed Entertainment, Interscope Communications",16478900.0
544,Rhombus Media,0.0
545,TriStar Pictures,0.0
546,"Tim Burton Productions, Touchstone Pictures",75634409.0
547,"Walt Disney Pictures, Caravan Pictures",53898845.0
548,"Hollywood Pictures, Cinergi Pictures Entertainment",56505065.0
549,Morgan Creek Productions,0.0
550,"August Entertainment, Morgan Creek Productions",12281551.0
551,,0.0
552,Twentieth Century Fox Film Corporation,13670688.0
553,"Téléfilm Canada, The Ontario Film Development Corporation, Alliance Communications Corporation",0.0
554,,0.0
555,,0.0
556,,0.0
557,"Renn Productions, France 2 Cinéma, DD Productions",0.0
558,Morgan Creek Productions,1596687.0
559,CNCAIMC,0.0
560,"Fine Line Features, Some Film",0.0
561,CiBy 2000,0.0
562,Channel 4 Television,0.0
563,"Columbia Pictures, Castle Rock Entertainment",0.0
564,"SVT Drama, Nordisk Film",0.0
565,,0.0
566,,0.0
567,,0.0
568,"Fine Line Features, Swelter Films, Buckeye Films",0.0
569,"Universal Pictures, Amblin Entertainment, King World Entertainment",67308282.0
570,,0.0
571,Paramount Pictures,0.0
572,,0.0
573,TriStar Pictures,3021629.0
574,"Sony Pictures Classics, Channel Four Films, Arte, Columbia Pictures Television, Telling Pictures",0.0
575,,0.0
576,"Sacher Film, La Sept Cinéma, Banfilm",0.0
577,Aura Film,0.0
578,Paramount Pictures,0.0
579,"Twentieth Century Fox Film Corporation, Hughes Entertainment",476684675.0
580,Paramount Pictures,505000000.0
581,Walt Disney Pictures,504050219.0
