,release_date
217,1995-08-04
218,1995-03-16
219,1994-09-13
220,1994-10-01
221,1994-12-09
222,1995-01-01
223,1994-12-08
224,1995-04-28
225,1994-05-04
226,1995-03-24
227,1994-12-16
228,1994-08-03
229,1994-09-24
230,1994-10-14
231,1994-09-27
232,1995-05-05
233,1995-05-19
234,1995-01-13
235,1995-04-07
236,1995-03-03
237,1995-06-02
238,1994-12-07
239,1995-05-12
240,1995-12-01
241,1994-09-16
242,1994-09-12
243,1994-09-02
244,1995-01-06
245,1994-12-16
246,1995-02-17
247,1995-02-24
248,1994-12-24
249,1994-11-11
250,1995-03-31
251,1995-02-03
252,1994-11-22
253,1995-02-17
254,1995-08-11
255,1995-04-21
256,1977-05-25
257,1994-12-21
258,1995-05-10
259,1994-02-18
260,1994-02-16
261,1992-04-16
262,1994-12-16
263,1995-03-24
264,1994-10-27
265,1994-06-08
266,1994-10-21
267,1995-03-17
268,1994-12-28
269,1994-11-04
270,1995-03-03
271,1994-12-21
272,1994-08-31
273,1994-11-18
274,1995-01-27
275,1995-05-03
276,1995-01-20
277,1994-12-23
278,1994-12-23
279,1995-04-19
280,1993-08-14
281,1994-04-22
282,1995-09-26
283,1995-03-03
284,1994-08-25
285,1994-09-17
286,1994-09-02
287,1996-01-16
288,1995-03-10
289,1994-09-14
290,1995-05-12
291,1995-04-28
292,1994-09-10
293,1995-11-10
294,1992-02-01
295,1994-01-01
296,1994-09-16
297,1995-05-05
298,1994-05-13
299,1995-02-09
300,1995-03-01
301,1994-12-23
302,1994-05-27
303,1993-01-10
304,1994-01-26
305,1994-10-14
306,1995-01-01
307,1995-10-03
308,1995-04-12
309,1994-11-18
310,1994-01-01
311,1994-10-07
312,1994-10-27
313,1994-11-10
314,1994-09-23
315,1994-12-22
316,1993-09-14
317,1993-01-01
318,1994-09-10
319,1994-07-12
320,1995-09-08
321,1994-06-30
322,1995-03-31
323,1995-01-13
324,1994-11-17
325,1995-05-24
326,1994-04-15
327,1995-04-28
328,1995-03-31
329,1994-09-13
330,1995-04-28
331,1995-02-24
332,1993-12-17
333,1995-08-04
334,1995-04-21
335,1994-11-04
336,1994-09-07
337,1994-09-29
338,1995-08-18
339,1994-02-04
340,1994-05-31
341,1994-04-01
342,1992-09-02
343,1994-10-14
344,1994-08-03
345,1994-07-20
346,1994-08-12
347,1994-05-13
348,1994-05-11
349,1994-12-02
350,1994-05-26
351,1994-07-06
352,1994-03-09
353,1995-01-11
354,1994-10-14
355,1994-06-29
356,1994-07-29
357,1994-12-23
358,1993-09-11
359,1994-06-23
360,1993-12-01
361,1994-10-13
362,1994-07-29
363,1994-05-20
364,1994-09-07
365,1994-03-18
366,1994-03-18
367,1994-02-18
368,1993-07-08
369,1994-12-19
370,1994-12-01
371,1994-09-30
372,1994-06-09
373,1994-12-16
374,1994-09-15
375,1994-07-14
376,1994-04-29
377,1994-06-17
378,1994-06-24
379,1995-01-20
380,1994-12-22
381,1994-09-15
382,1994-11-23
383,1994-09-30
384,1994-01-01
385,1965-08-06
386,1994-09-28
387,1993-12-10
388,1994-12-22
389,1995-09-15
390,1997-12-31
391,1995-05-13
392,1995-01-20
393,1995-10-20
394,1995-10-24
395,1995-05-03
396,1995-11-21
397,1996-05-03
398,1995-05-26
399,1995-03-01
400,1994-11-29
401,1995-02-24
402,1994-12-12
403,1994-02-25
404,1994-03-23
405,1993-11-19
406,1994-04-27
407,1993-09-17
408,1994-08-05
409,1994-01-07
410,1993-07-22
411,1994-04-22
412,1994-07-29
413,1994-05-06
414,1993-10-15
415,1994-05-24
416,1994-07-29
417,1994-01-26
418,1994-07-01
419,1994-02-18
420,1994-09-16
421,1993-06-09
422,1993-06-18
423,1993-09-14
424,1994-01-07
425,1993-09-03
426,1993-11-10
427,1994-06-10
428,1994-05-06
429,1993-05-28
430,1993-07-23
431,1994-08-19
432,1994-04-15
433,1994-06-03
434,1993-11-19
435,1993-05-07
436,1993-09-24
437,1993-10-08
438,1994-06-03
439,1994-05-13
440,1993-10-29
441,1993-09-16
442,1994-04-29
443,1993-10-15
444,1994-10-28
445,1994-04-29
446,1993-11-05
447,1994-05-13
448,1993-10-01
449,1993-06-30
450,1993-07-16
451,1994-08-24
452,1993-08-06
453,1993-12-10
454,1994-02-11
455,1994-06-17
456,1994-06-10
457,1994-07-14
458,1993-06-04
459,1993-08-20
460,1993-12-24
461,1993-05-21
462,1995-12-08
463,1995-05-12
464,1993-10-19
465,1994-01-01
466,1994-03-11
467,1994-02-04
468,1994-08-12
469,1993-07-08
470,1993-12-12
471,1994-04-22
472,1993-06-09
473,1994-03-30
474,1993-10-15
475,1993-06-11
476,1993-09-01
477,1993-10-01
478,1993-08-20
479,1994-07-22
480,1993-06-18
481,1993-06-04
482,1994-03-11
483,1993-09-09
484,1993-05-27
485,1993-09-29
486,1993-08-25
487,1993-08-18
488,1993-05-26
489,1996-03-15
490,1976-05-15
491,1994-09-09
492,1993-05-07
493,1993-10-08
494,1993-10-15
495,1993-11-24
496,1993-09-14
497,1994-07-18
498,1994-09-16
499,1994-04-29
500,1994-07-22
501,1992-09-01
502,1993-11-24
503,1993-12-22
504,1993-05-19
505,1993-07-23
506,1993-09-24
507,1994-10-21
508,1994-10-21
509,1994-03-09
510,1993-11-05
511,1994-06-03
512,1993-07-30
513,1994-10-28
514,1993-04-17
515,1993-07-28
516,1993-09-13
517,1992-03-05
518,1993-10-08
519,1993-09-17
520,1993-11-03
521,1992-08-19
522,1993-11-29
523,1994-09-30
524,1993-08-13
525,1994-09-30
526,1993-08-13
527,1994-04-13
528,1994-07-01
529,1993-12-25
530,1993-09-05
531,1994-09-02
532,1993-10-01
533,1993-12-08
534,1993-06-24
535,1993-05-21
536,1982-06-25
537,1993-07-02
538,1993-07-30
539,1993-09-17
540,1985-11-20
541,1993-05-28
542,1994-04-15
543,1994-09-23
544,1993-11-26
545,1994-04-08
546,1993-10-09
547,1993-11-11
548,1993-12-25
549,1994-09-09
550,1993-09-09
551,1993-12-05
552,1994-11-23
553,1994-02-04
554,1994-01-01
555,1994-09-14
556,1995-05-24
557,1993-09-29
558,1994-04-22
559,1993-09-12
560,1993-11-10
561,1993-10-28
562,1994-01-21
563,1994-06-29
564,1993-09-24
565,1993-09-05
566,1994-07-29
567,1992-10-01
568,1994-01-15
569,1994-08-05
570,1993-09-10
571,1994-08-17
572,1993-01-01
573,1994-09-16
574,1996-01-30
575,1993-01-01
576,1993-10-12
577,1993-05-20
578,1995-02-16
579,1990-11-09
580,1990-07-12
581,1992-11-25
582,1991-07-01
583,1990-11-09
584,1995-02-14
585,1989-06-23
586,1991-02-01
587,1937-12-20
588,1991-11-13
589,1940-02-23
590,1990-03-23
591,1993-12-01
592,1969-06-17
593,1994-11-23
594,1994-02-05
595,1994-09-27
596,1995-03-16
597,1996-12-20
598,1995-03-17
599,1993-12-31
600,1996-04-05
601,1996-03-08
602,1981-08-07
603,1996-03-08
604,1996-05-03
605,1996-02-09
606,1996-04-12
607,1974-05-05
608,1970-12-23
609,1995-09-22
610,1996-02-14
611,1996-03-15
612,1991-01-01
613,1993-05-14
614,1996-09-06
615,1995-12-08
616,1990-01-01
617,1996-04-04
618,1995-09-08
619,1996-04-03
620,1995-09-08
621,1996-01-26
622,1996-03-29
623,1995-01-01
624,1995-05-17
625,1995-12-14
626,1996-03-29
627,1996-03-22
628,1996-03-29
629,1995-06-02
630,1996-03-22
631,1996-03-22
632,1994-12-14
633,1995-09-11
634,1996-03-21
635,1996-03-14
636,1996-04-12
637,1996-07-04
638,1996-05-22
639,1995-02-10
640,1996-06-14
641,1996-03-06
642,1995-04-22
643,1996-05-31
644,1996-02-29
645,1995-09-12
646,1996-05-31
647,1993-12-01
648,1995-07-26
649,1960-03-10
650,1996-08-08
651,1996-04-12
652,1996-04-12
653,1996-04-02
654,1996-04-03
655,1995-04-11
656,1995-03-08
657,1996-03-01
658,1955-08-26
659,1959-05-01
660,1996-04-19
661,1996-03-15
662,1996-11-15
663,1968-10-10
664,1995-01-01
665,1996-01-01
666,1994-03-26
667,1995-09-22
668,1965-05-05
669,1981-11-04
670,1994-01-01
671,1993-05-20
672,1980-01-18
673,1996-03-22
674,1994-10-27
675,1995-07-28
676,1995-02-16
680,1996-04-19
681,1996-10-23
682,1994-01-01
683,1996-04-19
684,1996-03-12
685,1995-08-18
686,1996-09-13
687,1995-06-09
688,1991-01-01
689,1995-09-15
690,1992-09-01
691,1968-11-24
692,1996-05-10
693,1996-04-19
694,1996-03-04
695,1996-04-26
696,1996-04-26
697,1996-04-26
698,1988-11-18
699,1996-04-19
700,1996-05-17
701,1994-05-03
702,1994-05-10
703,1995-12-23
704,1995-09-20
705,1975-01-05
706,1995-11-10
707,1993-01-27
708,1996-07-19
709,1996-05-01
710,2002-03-20
711,1996-05-03
712,1996-05-03
713,1996-05-02
714,1995-01-01
715,1995-08-01
716,1996-05-17
717,1996-05-10
718,1996-06-06
719,1996-04-12
720,1994-03-25
721,1996-05-10
722,1996-05-02
723,1995-10-31
724,1996-04-11
725,1995-11-18
726,1996-10-25
727,1996-05-24
728,1995-08-23
729,1995-12-24
730,1948-12-25
731,1996-08-30
732,1996-05-31
733,1943-08-04
734,1964-01-29
735,1992-09-30
736,1995-09-11
737,1995-11-03
738,1950-12-07
739,1995-04-13
740,1994-09-16
741,1994-04-01
742,1995-11-10
743,1993-01-21
744,1996-06-06
745,1996-06-28
746,1996-12-06
747,1995-01-20
748,1996-08-09
749,1996-05-01
750,1995-09-10
751,1995-09-09
752,1987-11-17
753,1992-05-26
754,1973-07-01
755,1982-01-01
756,1968-05-16
757,1994-05-04
758,1995-01-01
759,1996-02-23
760,1997-05-30
761,1996-06-25
762,1996-03-29
763,1996-08-15
764,1996-06-21
765,1996-06-10
766,1996-07-04
767,1996-06-21
768,1995-01-01
769,1996-06-26
770,1990-08-09
771,1994-05-15
772,1987-01-01
773,1993-01-01
774,1994-09-09
775,1994-09-27
776,1974-01-01
777,1991-09-18
778,1996-12-06
779,1996-07-18
780,1996-06-21
781,1996-07-10
782,1996-07-05
783,1996-07-17
784,1996-08-26
785,1996-07-24
786,1996-09-13
787,1995-03-22
788,1996-08-14
789,1996-07-19
790,1996-07-17
791,1994-10-23
792,1996-10-31
793,1996-05-22
794,1996-05-17
795,1995-09-10
796,1996-08-23
797,1993-05-26
798,1956-09-21
799,1992-01-01
800,1967-03-02
801,1993-09-11
802,1996-05-30
803,1996-06-20
804,1995-09-06
805,1996-07-26
806,1996-07-26
807,1996-09-20
808,1995-10-01
809,1996-11-08
810,1996-10-25
811,1996-08-02
812,1996-08-23
813,1996-08-02
814,1996-08-02
815,1996-08-02
816,1996-08-29
817,1996-08-14
818,1960-01-11
819,1996-08-16
820,1995-06-01
821,1994-03-30
822,1994-01-01
823,1995-09-14
824,1996-09-06
825,1996-08-23
826,1996-08-09
827,1995-01-01
828,1996-08-09
829,1996-08-16
830,1991-06-02
831,1958-06-01
832,1990-08-28
833,1993-01-01
834,1949-01-01
835,1972-03-14
836,1994-10-05
837,1992-07-04
838,1996-01-22
839,1953-04-29
843,1996-04-05
844,1996-09-13
845,1996-08-23
846,1990-11-08
847,1996-08-16
848,1997-05-30
849,1996-07-12
850,1994-09-02
851,1976-01-31
852,1996-09-06
853,1994-01-01
854,1993-10-21
855,1996-08-21
856,1995-08-30
857,1997-01-10
858,1996-08-23
859,1996-08-30
860,1996-08-30
861,1995-06-08
862,1996-09-06
863,1996-09-06
864,1998-10-30
865,1995-03-16
866,1994-09-01
867,1988-10-08
868,1995-09-29
869,1996-10-31
870,1996-11-01
871,1933-03-10
872,2010-05-25
873,1994-05-05
874,1943-07-12
875,1940-12-05
876,1952-04-10
877,1951-08-08
878,1957-02-13
879,1961-10-05
880,1958-05-09
881,1954-08-01
882,1934-02-22
883,1944-05-04
884,1934-10-12
885,1959-07-07
886,1960-06-15
887,1959-03-18
888,1963-12-05
889,1942-11-26
890,1941-11-18
891,1964-10-21
892,1954-09-28
893,1953-09-02
894,1939-03-17
895,1944-11-23
896,1939-08-15
897,1939-12-15
898,1982-10-01
899,1950-08-10
900,1941-04-30
901,1968-04-10
902,1947-08-27
903,1950-11-09
904,1939-01-01
905,1940-04-12
906,1940-08-16
907,1946-08-15
908,1945-12-28
909,1957-07-11
910,1955-08-03
911,1950-06-16
912,1953-08-07
913,1939-10-06
914,1957-06-30
915,1958-04-15
916,1958-01-01
917,1938-05-13
918,1940-11-08
919,1944-10-11
920,1947-06-26
921,1937-09-01
922,1935-09-06
923,1942-03-05
924,1936-09-17
925,1956-10-10
926,1955-03-09
927,1934-05-25
928,1940-01-18
929,1956-10-17
930,1946-12-20
931,1939-10-19
932,1938-02-18
933,1941-04-24
934,1926-08-09
935,1943-06-01
936,1934-07-20
937,1946-09-20
938,1936-03-06
939,1939-01-28
940,1949-12-31
941,1947-02-15
942,1935-06-01
943,1945-12-25
944,1943-02-05
945,1968-10-01
946,1951-12-03
947,1953-11-24
948,1958-02-17
949,1954-01-01
950,1941-03-12
951,1938-06-28
952,1937-09-30
953,1932-12-08
957,1936-03-27
958,1996-10-18
959,1985-01-01
960,1997-02-12
961,1955-11-18
962,1995-01-26
963,1996-07-26
964,1995-01-01
965,1996-09-13
966,1997-04-14
967,1996-09-13
968,1995-09-08
969,1996-09-13
970,1996-10-25
971,1996-09-13
972,1996-10-04
973,1996-09-20
974,1996-09-20
975,1996-01-24
976,1996-11-06
977,1996-09-11
978,1996-09-06
979,1979-08-22
980,1996-10-18
981,1996-09-27
982,1996-10-04
983,1996-10-04
984,1996-10-11
985,1975-07-01
986,1955-05-25
987,1975-03-21
988,1968-12-22
989,1974-02-14
990,1957-12-25
991,1961-06-12
992,1960-05-19
993,1993-02-03
994,1959-03-19
995,1960-12-21
996,1965-12-02
997,1954-12-23
998,1993-09-30
999,1994-07-15
1000,1950-03-04
1001,1968-12-20
1002,1944-07-21
1003,1963-12-25
1004,1948-11-29
1005,1991-06-14
1006,1964-08-27
1007,1941-10-22
1008,1977-11-03
1009,1971-10-07
1010,1951-07-03
1011,1981-07-10
1012,1996-08-23
1013,1965-03-02
1014,1988-07-15
1015,1992-03-05
1016,1996-09-04
1017,1995-09-13
1018,1996-11-08
1019,1996-05-24
1020,1996-10-04
1021,1996-10-18
1022,1996-09-04
1023,1996-05-10
1024,1996-06-21
1025,1996-10-11
1026,1996-10-11
1027,1996-10-11
1028,1996-10-11
1029,1996-09-09
1030,1996-01-26
1031,1996-10-16
1032,1997-01-31
1033,1996-02-06
1034,1996-12-06
1035,1996-02-10
1036,1996-10-31
1037,1996-10-18
1038,1996-10-18
1039,1996-05-29
1040,1996-12-10
1041,1996-05-20
1042,1952-02-18
1043,1937-05-07
1044,1937-11-19
1045,1947-07-22
1046,1944-12-09
1047,1952-04-30
1048,1993-10-01
1049,1971-06-29
1050,1994-01-28
1051,1961-12-25
1052,1973-12-17
1053,1971-04-28
1054,1988-07-15
1055,1979-08-17
1056,1982-04-25
1057,1972-08-23
1058,1965-07-01
1059,1967-07-18
1060,1958-10-07
1061,1954-05-29
1062,1995-11-22
1063,1987-08-21
1064,1992-09-02
1065,1986-12-18
1066,1989-07-05
1067,1992-03-20
1068,1991-03-01
1069,1992-09-02
1070,1992-09-15
1071,1982-12-08
1072,1982-04-03
1073,1994-11-14
1074,1938-12-16
1075,1990-06-27
1076,1986-05-16
1077,1996-09-12
1078,1955-10-27
1079,1951-09-18
1080,1996-10-08
1081,1996-09-27
1082,1996-10-03
1083,1995-09-12
1084,1996-05-20
1085,1995-09-07
1086,1996-10-25
1087,1996-01-26
1088,2013-10-12
1089,1995-05-29
1090,1996-01-01
1091,1996-01-03
1092,1997-03-14
1093,1996-10-12
1094,1995-10-01
1095,1996-06-19
1096,1981-12-04
1097,1975-05-21
1098,1991-04-19
1099,1989-08-09
1100,1980-02-08
1101,1981-05-22
1102,1981-04-03
1103,1986-08-27
1104,1986-11-19
1105,1993-01-01
1106,1980-10-06
1107,1975-03-13
1108,1996-07-19
1109,1995-09-02
1110,1996-09-13
1111,1996-09-27
1112,1996-05-15
1113,1996-09-27
1114,1996-10-17
1115,1995-09-18
1116,1996-10-25
1117,1993-12-17
1118,1995-03-08
1119,1982-05-12
1120,1994-09-10
1121,1948-11-24
1122,1948-05-26
1123,1947-12-15
1124,1944-10-27
1125,1946-09-26
1126,1935-09-10
1127,1935-04-20
1128,1934-02-09
1129,1979-05-02
1130,1972-09-13
1131,1994-03-02
1132,1967-03-17
1133,1996-10-26
1134,1996-11-01
1135,1996-11-01
1136,1990-09-28
1137,1995-05-17
1138,1992-09-04
1139,1988-11-17
1140,1989-09-10
1141,1994-05-18
1142,1991-04-17
1143,1991-05-15
1144,1991-11-06
1145,1957-09-18
1146,1990-09-14
1147,1991-12-27
1148,1997-10-23
1149,1996-11-14
1150,1991-01-31
1151,1989-07-21
1152,1989-08-18
1153,1992-12-11
1154,1992-08-20
1155,1988-08-28
1156,1989-12-12
1157,1991-05-10
1158,1990-03-13
1159,1975-11-18
1160,1978-01-01
1161,1980-05-17
1162,1987-09-18
1163,1981-06-12
1164,1985-02-20
1165,1986-07-18
1166,1966-12-23
1167,1987-01-01
1168,1957-03-25
1169,1962-12-10
1170,1971-12-18
1171,1962-12-25
1172,1979-08-15
1173,1968-12-21
1174,1983-05-23
1175,1987-01-01
1176,1949-08-31
1177,1990-09-12
1178,1979-05-25
1179,1992-10-09
1180,1988-05-11
1181,1985-06-01
1182,1989-07-06
1183,1960-06-16
1184,1980-06-17
1185,1974-12-20
1186,1987-06-26
1187,1990-05-18
1188,1989-10-05
1189,1984-10-26
1190,1952-07-21
1191,1984-02-16
1192,1980-11-14
1193,1977-04-19
1194,1983-10-20
1195,1979-04-16
1196,1981-09-16
1197,1973-12-25
1198,1971-12-20
1199,1990-09-09
1200,1957-02-16
1201,1983-02-17
1202,1984-10-26
1203,1992-08-13
1204,1989-12-15
1205,1991-02-08
1206,1979-04-25
1207,1990-09-21
1208,1989-06-02
1209,1967-12-21
1210,1958-04-23
1211,1990-02-21
1212,1957-10-02
1213,1963-02-14
1214,1974-06-20
1215,1951-09-17
1216,1948-01-24
1217,1987-12-01
1218,1933-11-17
1219,1985-10-11
1220,1980-05-22
1221,1986-08-22
1222,1931-05-11
1223,1987-03-13
1224,1963-06-20
1225,1978-12-08
1226,1981-03-11
1227,1993-02-11
1228,1992-08-07
1229,1962-10-24
1230,1990-08-22
1231,1944-09-23
1232,1985-07-03
1233,1991-12-27
1234,1970-01-25
1235,1986-05-01
1236,1988-07-16
1237,1986-03-07
1238,1967-06-22
1239,1990-03-28
1240,1974-12-15
1241,1991-10-03
1242,1991-12-20
1243,1940-10-15
1244,1940-11-13
1245,1952-03-27
1246,1946-08-23
1247,1988-10-01
1248,1980-10-02
1249,1959-12-26
1250,1984-05-04
1251,1982-06-06
1252,1987-02-27
1253,1989-05-24
1254,1979-12-19
1255,1982-11-30
1256,1988-02-05
1257,1985-12-13
1258,1985-08-07
1259,1982-07-14
1260,1984-11-02
1261,1985-12-12
1262,1956-03-15
1263,1989-04-21
1264,1975-12-03
1265,1969-09-23
1266,1984-05-19
1267,1991-09-12
1268,1989-07-21
1269,1996-10-18
1270,1995-01-01
1271,1996-11-08
1272,1996-11-08
1273,1996-01-22
1274,1996-11-08
1275,1996-11-08
1276,1996-02-19
1277,1996-12-24
1278,1995-09-15
1279,1996-09-05
1280,1992-05-22
1281,1981-08-21
1282,1992-07-16
1283,1983-11-18
1284,1996-10-02
1285,1993-09-29
1286,1982-09-24
1287,1979-07-27
1288,1989-12-01
1289,1974-08-13
1290,1986-03-27
1291,1977-04-06
1292,1987-06-09
1293,1963-03-28
1294,1958-09-12
1295,1980-09-01
1296,1991-08-02
1297,1945-05-25
1298,1992-11-13
1299,1935-04-21
1300,1976-10-18
1301,1992-10-16
1302,1991-11-15
1303,1962-04-12
1304,1976-11-03
1305,1982-04-02
1306,1984-11-14
1307,1922-03-15
1308,1988-09-15
1309,1976-06-06
1310,1996-10-03
1311,1996-09-09
1312,1996-11-15
1313,1996-05-13
1314,1997-01-31
1315,1996-11-21
1316,1996-01-21
1317,1996-08-30
1318,1996-11-15
1319,1982-10-21
1320,1996-12-03
1321,1996-12-13
1322,1995-09-29
1323,1996-05-09
1324,1996-11-27
1325,1996-11-17
1326,1951-06-08
1327,1994-05-18
1328,1990-07-02
1329,1979-12-06
1330,1991-12-05
1331,1989-06-09
1332,1982-06-03
1333,1984-05-31
1334,1986-11-25
1335,1992-06-19
1336,1988-08-12
1337,1990-08-01
1338,1978-07-07
1339,1982-06-11
1340,1990-10-05
1341,1996-11-29
1342,1996-09-11
1343,1992-10-08
1344,1958-09-01
1345,1975-06-18
1346,1978-06-16
1347,1983-03-16
1348,1996-12-20
1349,1996-12-12
1350,1996-12-13
1351,1996-12-06
1352,1987-03-01
1353,1987-03-06
1354,1992-09-09
1355,1996-12-15
1356,1996-12-18
1357,1996-12-18
1358,1996-12-19
1359,1996-12-20
1360,1996-10-22
1361,1996-12-15
1362,1995-08-30
1363,1996-12-20
1364,1992-09-25
1365,1996-12-25
1366,1996-12-25
1367,1996-12-25
1368,1996-12-25
1369,1996-12-20
1370,1996-12-25
1371,1996-08-21
1372,1996-12-14
1373,1996-10-18
1374,1971-07-01
1375,1996-02-15
1376,1997-04-18
1377,1995-08-29
1378,1996-08-25
1379,1997-01-24
1380,1997-01-24
1381,1997-01-09
1382,1995-09-09
1383,1996-02-10
1384,1996-06-01
1385,1997-01-17
1386,1997-01-16
1387,1994-05-28
1388,1980-11-21
1389,1993-02-20
1390,1997-02-07
1391,1997-01-01
1392,1993-03-05
1393,1993-04-16
1394,1997-01-24
1395,1996-11-21
1396,1995-01-01
1397,1997-04-18
1398,1996-05-05
1399,1997-01-29
1400,1996-11-29
1401,1996-01-31
1402,1996-03-15
1403,1997-02-07
1404,1996-02-07
1405,1996-12-19
1406,1997-02-07
1407,1997-02-14
1408,1997-02-14
1409,1997-02-14
1410,1997-02-14
1411,1997-02-13
1412,1997-02-14
1413,1997-04-04
1414,1997-01-15
1415,1997-02-21
1416,1997-02-27
1417,1996-11-20
1418,1997-02-26
1419,1997-03-04
1420,1997-03-07
1421,1997-03-14
1422,1997-01-01
1423,1997-03-07
1424,1996-09-11
1425,1997-03-07
1426,1997-03-14
1427,1997-04-03
1428,1997-02-13
1429,1996-05-11
1430,1996-07-17
1431,1996-01-01
1432,1997-03-21
1433,1996-03-21
1434,1997-03-21
1435,1997-03-12
1436,1997-03-26
1437,1997-03-28
1438,1996-08-01
1439,1997-03-27
1440,1997-04-04
1441,1997-04-04
1442,1997-04-04
1443,1997-04-11
1444,1997-04-11
1445,1997-04-11
1446,1996-09-07
1447,1997-04-18
1448,1996-06-24
1449,1997-04-11
1450,1997-04-18
1451,1997-02-15
1452,1997-04-25
1453,1996-06-06
1454,1997-04-25
1455,1996-05-09
1456,1997-04-25
1457,1996-06-14
1458,1997-05-02
1459,1997-05-02
1460,1996-09-09
1461,1997-05-02
1462,1996-09-10
1463,1997-01-01
1464,1992-01-01
1465,1997-05-02
1466,1997-05-09
1467,1997-05-07
1468,1996-01-01
1469,1997-05-09
1470,1996-08-18
1471,1997-05-14
1472,1965-02-10
1473,1997-05-16
1474,1996-01-27
1475,1997-05-16
1476,1997-04-11
1477,1997-05-23
1478,1996-11-01
1479,1997-05-23
1480,1997-05-23
1481,1996-09-10
1482,1996-09-13
1483,1996-11-30
1484,1996-11-20
1485,1995-09-07
1486,1997-05-30
1487,1997-06-06
1488,1997-06-01
1489,1996-01-01
1490,1996-05-12
1491,1995-12-27
1492,1997-06-13
1493,1997-06-06
1494,1996-10-11
1495,1997-06-13
1496,1996-10-18
1497,1997-06-20
1498,1997-01-01
1499,1997-03-06
1500,1996-11-07
1501,1997-06-26
1502,1997-06-20
1503,1996-09-10
1504,1997-06-19
1505,1992-01-01
1506,1996-04-03
