,title,vote_count,vote_average,release_year
187,Safe,62.0,7.2,1995
188,The Scarlet Letter,111.0,5.5,1995
189,The Show,2.0,5.3,1995
190,Showgirls,261.0,4.9,1995
191,Smoke,115.0,7.2,1995
192,Something to Talk About,60.0,5.7,1995
193,Species,457.0,5.5,1995
194,The Stars Fell on Henrietta,6.0,6.6,1995
195,Strange Days,334.0,6.8,1995
196,The Umbrellas of Cherbourg,119.0,7.6,1964
197,The Tie That Binds,9.0,4.6,1995
198,Three Wishes,18.0,6.1,1995
199,Total Eclipse,112.0,6.5,1995
200,"To Wong Foo, Thanks for Everything! Julie Newmar",117.0,6.3,1995
201,Under Siege 2: Dark Territory,217.0,5.6,1995
202,Unstrung Heroes,9.0,6.4,1995
203,Unzipped,6.0,6.0,1995
204,A Walk in the Clouds,168.0,6.5,1995
205,Waterworld,1017.0,5.9,1995
206,White Man's Burden,25.0,5.1,1995
207,Wild Bill,27.0,5.9,1995
208,The Browning Version,11.0,6.0,1994
209,Bushwhacked,29.0,4.9,1995
210,Burnt by the Sun,35.0,6.7,1994
211,Before the Rain,45.0,7.7,1994
212,Before Sunrise,984.0,7.7,1995
213,Billy Madison,464.0,6.2,1995
214,The Babysitter,27.0,4.7,1995
215,Boys on the Side,48.0,6.3,1995
216,The Cure,58.0,7.2,1995
217,Castle Freak,40.0,5.8,1995
218,Circle of Friends,30.0,6.5,1995
219,Clerks,769.0,7.4,1994
220,Don Juan DeMarco,184.0,6.3,1994
221,Disclosure,217.0,5.9,1994
222,Dream Man,1.0,2.5,1995
223,Drop Zone,91.0,5.1,1994
224,Destiny Turns on the Radio,9.0,5.3,1995
225,Death and the Maiden,92.0,7.1,1994
226,Dolores Claiborne,183.0,7.1,1995
227,Dumb and Dumber,1894.0,6.5,1994
228,Eat Drink Man Woman,76.0,7.5,1994
229,Exotica,64.0,6.5,1994
230,Exit to Eden,28.0,4.3,1994
231,Ed Wood,639.0,7.3,1994
232,French Kiss,179.0,6.2,1995
233,Forget Paris,38.0,6.1,1995
234,Far from Home: The Adventures of Yellow Dog,27.0,5.6,1995
235,A Goofy Movie,404.0,6.7,1995
236,Hideaway,24.0,5.0,1995
237,Fluke,48.0,6.6,1995
238,Farinelli,20.0,5.9,1994
239,Gordy,4.0,3.0,1995
240,Gumby: The Movie,2.0,5.0,1995
241,The Glass Shield,9.0,5.4,1994
242,Hoop Dreams,91.0,7.7,1994
243,Heavenly Creatures,299.0,6.9,1994
244,Houseguest,17.0,6.0,1995
245,Immortal Beloved,90.0,6.9,1994
246,Heavyweights,97.0,6.0,1995
247,The Hunted,25.0,6.0,1995
248,I.Q.,112.0,5.9,1994
249,Interview with the Vampire,1558.0,7.2,1994
250,Jefferson in Paris,10.0,5.2,1995
251,The Jerky Boys,10.0,4.8,1995
252,Junior,381.0,4.7,1994
253,Just Cause,124.0,6.0,1995
254,A Kid in King Arthur's Court,40.0,4.3,1995
255,Kiss of Death,83.0,5.7,1995
256,Star Wars,6778.0,8.1,1977
257,Little Women,222.0,7.0,1994
258,A Little Princess,207.0,7.4,1995
259,Ladybird Ladybird,14.0,7.4,1994
260,L'Enfer,22.0,6.6,1994
261,Like Water for Chocolate,70.0,6.6,1992
262,Legends of the Fall,636.0,7.2,1994
263,Major Payne,164.0,6.1,1995
264,Little Odessa,31.0,6.4,1994
265,Mi Vida Loca,9.0,5.7,1994
266,Love Affair,11.0,4.3,1994
267,Losing Isaiah,28.0,6.4,1995
268,The Madness of King George,67.0,6.7,1994
269,Mary Shelley's Frankenstein,272.0,6.1,1994
270,Man of the House,40.0,5.1,1995
271,Mixed Nuts,37.0,5.2,1994
272,Milk Money,49.0,5.6,1994
273,Miracle on 34th Street,199.0,6.4,1994
274,Miami Rhapsody,7.0,5.6,1995
275,My Family,11.0,7.0,1995
276,Murder in the First,140.0,6.9,1995
277,Nobody's Fool,56.0,7.0,1994
278,Nell,128.0,6.1,1994
279,New Jersey Drive,7.0,6.9,1995
280,New York Cop,0.0,0.0,1993
281,Beyond Bedlam,4.0,4.0,1994
282,Nemesis 2 - Nebula,10.0,4.6,1995
283,Nina Takes a Lover,4.0,7.4,1995
284,Natural Born Killers,927.0,6.9,1994
285,Only You,92.0,6.4,1994
286,Once Were Warriors,106.0,7.6,1994
287,Poison Ivy II: Lily,32.0,4.6,1996
288,Outbreak,522.0,6.4,1995
289,Leon: The Professional,4293.0,8.2,1994
290,The Perez Family,9.0,6.6,1995
291,A Pyromaniac's Love Story,2.0,7.0,1995
292,Pulp Fiction,8670.0,8.3,1994
293,Panther,6.0,6.4,1995
294,Pushing Hands,9.0,6.1,1992
295,Priest,32.0,6.4,1994
296,Quiz Show,262.0,7.1,1994
297,Picture Bride,5.0,7.4,1995
298,Queen Margot,67.0,7.0,1994
299,The Quick and the Dead,431.0,6.2,1995
300,Roommates,7.0,6.4,1995
301,Prêt-à-Porter,33.0,5.3,1994
302,Three Colors: Red,246.0,7.8,1994
303,Three Colors: Blue,311.0,7.7,1993
304,Three Colors: White,218.0,7.3,1994
305,"Red Firecracker, Green Firecracker",2.0,7.0,1994
306,Rent-a-Kid,15.0,5.1,1995
307,Relative Fear,3.0,4.7,1995
308,Stuart Saves His Family,6.0,5.0,1995
309,The Swan Princess,251.0,6.5,1994
310,The Secret of Roan Inish,15.0,6.1,1994
311,The Specialist,317.0,5.5,1994
312,Stargate,942.0,6.8,1994
313,The Santa Clause,501.0,6.3,1994
314,The Shawshank Redemption,8358.0,8.5,1994
315,Shallow Grave,247.0,7.0,1994
316,Suture,7.0,6.0,1993
317,Strawberry and Chocolate,16.0,7.1,1993
318,Swimming with Sharks,104.0,6.7,1994
319,The Sum of Us,21.0,6.0,1994
320,Senior Trip,23.0,5.7,1995
321,To Live,62.0,7.7,1994
322,Tank Girl,140.0,5.5,1995
323,Tales from the Crypt: Demon Knight,96.0,6.7,1995
324,Star Trek: Generations,461.0,6.4,1994
325,Tales from the Hood,33.0,5.4,1995
326,Tom & Viv,8.0,5.8,1994
327,Village of the Damned,165.0,5.6,1995
328,Tommy Boy,321.0,6.8,1995
329,Vanya on 42nd Street,15.0,6.1,1994
330,The Underneath,15.0,5.6,1995
331,The Walking Dead,4.0,6.6,1995
332,What's Eating Gilbert Grape,943.0,7.5,1993
333,Virtuosity,163.0,5.4,1995
334,While You Were Sleeping,340.0,6.5,1995
335,The War,39.0,6.3,1994
336,Double Happiness,2.0,5.5,1994
337,Muriel's Wedding,104.0,6.9,1994
338,The Baby-Sitters Club,23.0,5.3,1995
339,Ace Ventura: Pet Detective,1684.0,6.4,1994
340,"The Adventures of Priscilla, Queen of the Desert",174.0,7.2,1994
341,Backbeat,37.0,6.2,1994
342,Bitter Moon,115.0,7.0,1992
343,Bullets Over Broadway,130.0,7.0,1994
344,Clear and Present Danger,390.0,6.4,1994
345,The Client,287.0,6.4,1994
346,"Corrina, Corrina",83.0,6.4,1994
347,Crooklyn,31.0,6.7,1994
348,The Crow,980.0,7.3,1994
349,Cobb,29.0,6.1,1994
350,The Flintstones,559.0,5.0,1994
351,Forrest Gump,8147.0,8.2,1994
352,Four Weddings and a Funeral,654.0,6.6,1994
353,Higher Learning,49.0,6.4,1995
354,I Like It Like That,4.0,6.3,1994
355,I Love Trouble,41.0,5.3,1994
356,It Could Happen to You,154.0,6.1,1994
357,The Jungle Book,107.0,5.9,1994
358,"The Wonderful, Horrible Life of Leni Riefenstahl",5.0,7.3,1993
359,The Lion King,5520.0,8.0,1994
360,Little Buddha,76.0,6.0,1993
361,New Nightmare,297.0,6.4,1994
362,The Mask,2550.0,6.6,1994
363,Maverick,490.0,6.6,1994
364,Mrs. Parker and the Vicious Circle,20.0,6.3,1994
365,The Naked Gun 33⅓: The Final Insult,535.0,6.4,1994
366,The Paper,40.0,6.1,1994
367,Reality Bites,180.0,6.5,1994
368,Red Rock West,71.0,6.4,1993
369,Ri¢hie Ri¢h,426.0,5.4,1994
370,Safe Passage,7.0,4.9,1994
371,The River Wild,214.0,6.1,1994
372,Speed,1814.0,6.8,1994
373,Speechless,24.0,5.5,1994
374,Timecop,288.0,5.5,1994
375,True Lies,1138.0,6.8,1994
376,When a Man Loves a Woman,71.0,6.0,1994
377,Wolf,221.0,6.0,1994
378,Wyatt Earp,203.0,6.5,1994
379,Bad Company,12.0,4.9,1995
380,A Man of No Importance,2.0,6.5,1994
381,S.F.W.,22.0,6.1,1994
382,A Low Down Dirty Shame,31.0,6.0,1994
383,"Boys Life: Three Stories of Love, Lust, and Liberation",1.0,2.0,1994
384,Colonel Chabert,9.0,5.9,1994
385,"Faster, Pussycat! Kill! Kill!",59.0,6.5,1965
386,Jason's Lyric,9.0,5.9,1994
387,The Secret Adventures of Tom Thumb,8.0,7.1,1993
388,Street Fighter,330.0,4.1,1994
389,Coldblooded,13.0,6.7,1995
390,Desert Winds,0.0,0.0,1997
391,Fall Time,6.0,6.3,1995
392,The Fear,7.0,3.4,1995
393,Frank and Ollie,4.0,7.5,1995
394,Girl in the Cadillac,1.0,10.0,1995
395,Homage,0.0,0.0,1995
396,Mirage,1.0,4.0,1995
397,Open Season,0.0,0.0,1996
398,Dos Crímenes,1.0,5.0,1995
399,Brother Minister: The Assassination of Malcolm X,1.0,4.0,1995
400,Highlander: The Final Dimension,110.0,4.5,1994
401,Federal Hill,2.0,5.0,1995
402,In the Mouth of Madness,307.0,7.1,1994
403,8 Seconds,22.0,7.2,1994
404,Above the Rim,40.0,6.7,1994
405,Addams Family Values,537.0,6.5,1993
406,Martin Lawrence: You So Crazy,4.0,4.5,1994
407,The Age of Innocence,172.0,7.0,1993
408,Airheads,222.0,5.8,1994
409,The Air Up There,42.0,5.1,1994
410,Another Stakeout,58.0,4.9,1993
411,Bad Girls,61.0,4.6,1994
412,Barcelona,20.0,6.6,1994
413,Being Human,15.0,5.0,1994
414,The Beverly Hillbillies,86.0,5.0,1993
415,Beverly Hills Cop III,445.0,5.5,1994
416,Black Beauty,68.0,6.6,1994
417,Blink,45.0,6.3,1994
418,Blown Away,126.0,6.0,1994
419,Blue Chips,41.0,5.7,1994
420,Blue Sky,28.0,6.1,1994
421,Body Snatchers,102.0,5.8,1993
422,Boxing Helena,59.0,4.5,1993
423,A Bronx Tale,447.0,7.4,1993
424,Cabin Boy,28.0,4.9,1994
425,Calendar Girl,10.0,3.7,1993
426,Carlito's Way,805.0,7.7,1993
427,City Slickers II: The Legend of Curly's Gold,103.0,4.9,1994
428,Clean Slate,25.0,5.7,1994
429,Cliffhanger,600.0,6.1,1993
430,Coneheads,228.0,4.8,1993
431,Color of Night,117.0,5.4,1994
432,Cops & Robbersons,36.0,5.0,1994
433,The Cowboy Way,38.0,5.1,1994
434,Dangerous Game,9.0,5.4,1993
435,Dave,205.0,6.3,1993
436,Dazed and Confused,588.0,7.4,1993
437,Demolition Man,1018.0,6.4,1993
438,The Endless Summer 2,12.0,7.1,1994
439,Even Cowgirls Get the Blues,29.0,4.2,1994
440,Fatal Instinct,37.0,5.4,1993
441,Farewell My Concubine,98.0,7.8,1993
442,The Favor,6.0,3.3,1994
443,Fearless,80.0,6.8,1993
444,Fear of a Black Hat,11.0,5.8,1994
445,With Honors,54.0,6.1,1994
446,Flesh and Bone,22.0,6.2,1993
447,Widows' Peak,3.0,4.3,1994
448,For Love or Money,77.0,5.7,1993
449,The Firm,513.0,6.6,1993
450,Free Willy,429.0,6.0,1993
451,Fresh,56.0,7.6,1994
452,The Fugitive,1240.0,7.2,1993
453,Geronimo: An American Legend,44.0,5.9,1993
454,The Getaway,81.0,5.4,1994
455,Getting Even with Dad,43.0,4.5,1994
456,Go Fish,5.0,3.9,1994
457,A Good Man in Africa,11.0,5.2,1994
458,Guilty as Sin,21.0,5.6,1993
459,Hard Target,237.0,6.1,1993
460,Heaven & Earth,51.0,6.4,1993
461,Hot Shots! Part Deux,463.0,6.2,1993
462,Live Nude Girls,12.0,4.7,1995
463,The Englishman Who Went Up a Hill But Came Down a Mountain,83.0,6.1,1995
464,The House of the Spirits,135.0,6.7,1993
465,House Party 3,11.0,4.6,1994
466,The Hudsucker Proxy,280.0,7.1,1994
467,I'll Do Anything,18.0,5.7,1994
468,In the Army Now,54.0,4.7,1994
469,In the Line of Fire,392.0,6.8,1993
470,In the Name of the Father,363.0,7.6,1993
471,The Inkwell,5.0,3.9,1994
472,What's Love Got to Do with It,75.0,6.9,1993
473,Jimmy Hollywood,17.0,4.6,1994
474,Judgment Night,79.0,6.4,1993
475,Jurassic Park,4956.0,7.6,1993
476,Kalifornia,209.0,6.5,1993
477,Killing Zoe,111.0,6.1,1993
478,King of the Hill,33.0,6.4,1993
479,Lassie,54.0,6.1,1994
480,Last Action Hero,725.0,6.1,1993
481,Life With Mikey,24.0,5.1,1993
482,Lightning Jack,40.0,5.7,1994
483,M. Butterfly,35.0,6.6,1993
484,Made in America,86.0,5.3,1993
485,Malice,105.0,5.9,1993
486,The Man without a Face,125.0,6.2,1993
487,Manhattan Murder Mystery,169.0,7.1,1993
488,Menace II Society,179.0,7.2,1993
489,Executive Decision,261.0,5.8,1996
490,In the Realm of the Senses,112.0,6.5,1976
491,What Happened Was...,7.0,7.0,1994
492,Much Ado About Nothing,194.0,7.2,1993
493,Mr. Jones,35.0,5.9,1993
494,Mr. Wonderful,11.0,5.5,1993
495,Mrs. Doubtfire,1638.0,7.0,1993
496,Naked,105.0,7.5,1993
497,The Next Karate Kid,202.0,4.8,1994
498,The New Age,5.0,4.8,1994
499,No Escape,86.0,6.1,1994
500,North,67.0,4.8,1994
501,Orlando,53.0,6.7,1992
502,A Perfect World,376.0,7.2,1993
503,Philadelphia,1019.0,7.6,1993
504,The Piano,290.0,7.1,1993
505,Poetic Justice,47.0,6.9,1993
506,The Program,28.0,6.0,1993
507,The Puppet Masters,41.0,5.6,1994
508,Radioland Murders,12.0,5.8,1994
509,The Ref,99.0,6.7,1994
510,The Remains of the Day,213.0,7.5,1993
511,Renaissance Man,83.0,5.9,1994
512,Rising Sun,188.0,5.8,1993
513,The Road to Wellville,43.0,5.5,1994
514,RoboCop 3,309.0,4.2,1993
515,Robin Hood: Men in Tights,575.0,6.4,1993
516,Romeo Is Bleeding,36.0,5.7,1993
517,Romper Stomper,126.0,6.6,1992
518,Ruby in Paradise,10.0,5.6,1993
519,Rudy,187.0,7.2,1993
520,The Saint of Fort Washington,5.0,4.0,1993
521,Savage Nights,11.0,6.2,1992
522,Schindler's List,4436.0,8.3,1993
523,The Scout,37.0,5.3,1994
524,Searching for Bobby Fischer,100.0,7.3,1993
525,Second Best,8.0,5.9,1994
526,The Secret Garden,232.0,7.1,1993
527,Serial Mom,137.0,6.4,1994
528,The Shadow,140.0,5.4,1994
529,Shadowlands,61.0,6.8,1993
530,Short Cuts,136.0,6.9,1993
531,A Simple Twist of Fate,26.0,5.7,1994
532,Sirens,31.0,5.2,1993
533,Six Degrees of Separation,75.0,6.5,1993
534,Sleepless in Seattle,630.0,6.5,1993
535,Sliver,144.0,4.9,1993
536,Blade Runner,3833.0,7.9,1982
537,Son in Law,81.0,5.6,1993
538,So I Married an Axe Murderer,131.0,6.1,1993
539,Striking Distance,223.0,5.4,1993
540,Harem,4.0,4.0,1985
541,Super Mario Bros.,236.0,4.0,1993
542,Surviving the Game,53.0,6.1,1994
543,Terminal Velocity,82.0,5.0,1994
544,Thirty Two Short Films About Glenn Gould,9.0,7.4,1993
545,Threesome,57.0,6.3,1994
546,The Nightmare Before Christmas,2135.0,7.6,1993
547,The Three Musketeers,219.0,6.2,1993
548,Tombstone,632.0,7.4,1993
549,Trial by Jury,5.0,5.5,1994
550,True Romance,762.0,7.5,1993
551,The War Room,19.0,7.3,1993
552,The Pagemaster,178.0,6.2,1994
553,"Paris, France",2.0,6.0,1994
554,"The Beans of Egypt, Maine",1.0,0.0,1994
555,Killer,2.0,3.0,1994
556,Welcome to the Dollhouse,103.0,6.9,1995
557,Germinal,43.0,6.3,1993
558,Chasers,22.0,4.7,1994
559,Cronos,153.0,6.4,1993
560,Naked in New York,3.0,4.0,1993
561,Kika,58.0,6.8,1993
562,Bhaji on the Beach,10.0,5.1,1994
563,Little Big League,20.0,6.0,1994
564,The Slingshot,10.0,6.2,1993
565,Wide Eyed and Legless,0.0,0.0,1993
566,Foreign Student,0.0,0.0,1994
567,"Ciao, Professore!",74.0,7.2,1992
568,Spanking the Monkey,29.0,5.3,1994
569,The Little Rascals,214.0,6.3,1994
570,À la mode,0.0,0.0,1993
571,Andre,31.0,5.0,1994
572,The Escort,5.0,5.0,1993
573,Princess Caraboo,5.0,4.4,1994
574,The Celluloid Closet,24.0,7.0,1996
575,Café au Lait,4.0,6.8,1993
576,Dear Diary,46.0,6.9,1993
577,I Don't Want to Talk About It,1.0,6.0,1993
578,The Brady Bunch Movie,87.0,5.9,1995
579,Home Alone,2487.0,7.1,1990
580,Ghost,1381.0,6.9,1990
581,Aladdin,3495.0,7.4,1992
582,Terminator 2: Judgment Day,4274.0,7.7,1991
583,Dances with Wolves,1084.0,7.6,1990
584,Tough and Deadly,4.0,6.3,1995
585,Batman,2145.0,7.0,1989
586,The Silence of the Lambs,4549.0,8.1,1991
587,Snow White and the Seven Dwarfs,1973.0,6.9,1937
588,Beauty and the Beast,3029.0,7.5,1991
589,Pinocchio,1412.0,6.9,1940
590,Pretty Woman,1807.0,7.0,1990
591,Window to Paris,6.0,6.0,1993
592,The Wild Bunch,266.0,7.7,1969
593,Love and a .45,15.0,5.5,1994
594,The Wooden Man's Bride,1.0,6.5,1994
595,A Great Day in Harlem,2.0,7.0,1994
596,Bye Bye Love,20.0,6.1,1995
597,One Fine Day,160.0,6.1,1996
598,Candyman: Farewell to the Flesh,64.0,5.0,1995
599,Century,1.0,5.0,1993
600,Fargo,2080.0,7.7,1996
601,Homeward Bound II: Lost in San Francisco,105.0,6.0,1996
602,Heavy Metal,150.0,6.3,1981
603,Hellraiser: Bloodline,111.0,4.9,1996
604,The Pallbearer,30.0,4.6,1996
605,Jane Eyre,51.0,7.1,1996
606,Loaded,3.0,4.0,1996
607,Bread and Chocolate,10.0,7.1,1974
608,The Aristocats,1287.0,7.1,1970
609,The Flower of My Secret,43.0,6.9,1995
610,Two Much,24.0,5.1,1996
611,Ed,24.0,3.6,1996
612,Scream of Stone,4.0,7.5,1991
613,My Favorite Season,4.0,6.4,1993
614,A Modern Affair,1.0,5.0,1996
615,Condition Red,3.0,4.7,1995
616,Halfaouine: Boy of the Terraces,5.0,7.4,1990
617,A Thin Line Between Love and Hate,15.0,5.7,1996
618,The Last Supper,82.0,6.5,1995
619,Primal Fear,644.0,7.4,1996
620,Rude,1.0,6.0,1995
621,Carried Away,5.0,5.4,1996
622,All Dogs Go to Heaven 2,50.0,5.0,1996
623,Land and Freedom,53.0,7.0,1995
624,Denise Calls Up,5.0,6.6,1995
625,Theodore Rex,17.0,3.6,1995
626,A Family Thing,14.0,5.6,1996
627,Frisk,3.0,3.0,1996
628,Sgt. Bilko,96.0,5.5,1996
629,Jack & Sarah,10.0,5.1,1995
630,Girl 6,17.0,5.7,1996
631,Diabolique,74.0,5.4,1996
632,"Little Indian, Big City",145.0,6.0,1994
633,Roula,1.0,5.0,1995
634,Peanuts – Die Bank zahlt alles,1.0,4.0,1996
635,Happy Weekend,0.0,0.0,1996
636,Nelly and Monsieur Arnaud,16.0,7.1,1996
637,Courage Under Fire,240.0,6.2,1996
638,Mission: Impossible,2677.0,6.7,1996
639,Cold Fever,6.0,7.7,1995
640,Moll Flanders,19.0,6.2,1996
641,The Superwife,7.0,5.3,1996
642,"301, 302",10.0,6.2,1995
643,DragonHeart,553.0,6.4,1996
644,Und keiner weint mir nach,0.0,0.0,1996
645,My Mother's Courage,0.0,0.0,1995
646,Eddie,46.0,5.4,1996
647,Yankee Zulu,4.0,6.0,1993
