,title,release_year,runtime
241,The Glass Shield,1994,109.0
242,Hoop Dreams,1994,171.0
243,Heavenly Creatures,1994,99.0
244,Houseguest,1995,113.0
245,Immortal Beloved,1994,121.0
246,Heavyweights,1995,100.0
247,The Hunted,1995,106.0
248,I.Q.,1994,100.0
249,Interview with the Vampire,1994,123.0
250,Jefferson in Paris,1995,139.0
251,The Jerky Boys,1995,82.0
252,Junior,1994,109.0
253,Just Cause,1995,102.0
254,A Kid in King Arthur's Court,1995,89.0
255,Kiss of Death,1995,101.0
256,Star Wars,1977,121.0
257,Little Women,1994,115.0
258,A Little Princess,1995,97.0
259,Ladybird Ladybird,1994,101.0
260,L'Enfer,1994,100.0
261,Like Water for Chocolate,1992,105.0
262,Legends of the Fall,1994,133.0
263,Major Payne,1995,95.0
264,Little Odessa,1994,98.0
265,Mi Vida Loca,1994,92.0
266,Love Affair,1994,108.0
267,Losing Isaiah,1995,106.0
268,The Madness of King George,1994,107.0
269,Mary Shelley's Frankenstein,1994,123.0
270,Man of the House,1995,96.0
271,Mixed Nuts,1994,97.0
272,Milk Money,1994,108.0
273,Miracle on 34th Street,1994,114.0
274,Miami Rhapsody,1995,95.0
275,My Family,1995,128.0
276,Murder in the First,1995,122.0
277,Nobody's Fool,1994,110.0
278,Nell,1994,112.0
279,New Jersey Drive,1995,98.0
280,New York Cop,1993,93.0
281,Beyond Bedlam,1994,89.0
282,Nemesis 2 - Nebula,1995,83.0
283,Nina Takes a Lover,1995,100.0
284,Natural Born Killers,1994,119.0
285,Only You,1994,115.0
286,Once Were Warriors,1994,99.0
287,Poison Ivy II: Lily,1996,106.0
288,Outbreak,1995,127.0
289,Leon: The Professional,1994,110.0
290,The Perez Family,1995,113.0
291,A Pyromaniac's Love Story,1995,94.0
292,Pulp Fiction,1994,154.0
293,Panther,1995,124.0
294,Pushing Hands,1992,105.0
295,Priest,1994,98.0
296,Quiz Show,1994,133.0
297,Picture Bride,1995,94.0
298,Queen Margot,1994,162.0
299,The Quick and the Dead,1995,107.0
300,Roommates,1995,108.0
301,Prêt-à-Porter,1994,133.0
302,Three Colors: Red,1994,99.0
303,Three Colors: Blue,1993,98.0
304,Three Colors: White,1994,91.0
305,"Red Firecracker, Green Firecracker",1994,111.0
306,Rent-a-Kid,1995,85.0
307,Relative Fear,1995,90.0
308,Stuart Saves His Family,1995,95.0
309,The Swan Princess,1994,89.0
310,The Secret of Roan Inish,1994,97.0
311,The Specialist,1994,110.0
312,Stargate,1994,121.0
313,The Santa Clause,1994,97.0
314,The Shawshank Redemption,1994,142.0
315,Shallow Grave,1994,92.0
316,Suture,1993,96.0
317,Strawberry and Chocolate,1993,108.0
318,Swimming with Sharks,1994,101.0
319,The Sum of Us,1994,100.0
320,Senior Trip,1995,91.0
321,To Live,1994,125.0
322,Tank Girl,1995,98.0
323,Tales from the Crypt: Demon Knight,1995,92.0
324,Star Trek: Generations,1994,118.0
325,Tales from the Hood,1995,98.0
326,Tom & Viv,1994,115.0
327,Village of the Damned,1995,99.0
328,Tommy Boy,1995,97.0
329,Vanya on 42nd Street,1994,119.0
330,The Underneath,1995,99.0
331,The Walking Dead,1995,88.0
332,What's Eating Gilbert Grape,1993,118.0
333,Virtuosity,1995,106.0
334,While You Were Sleeping,1995,103.0
335,The War,1994,126.0
336,Double Happiness,1994,87.0
337,Muriel's Wedding,1994,106.0
338,The Baby-Sitters Club,1995,94.0
339,Ace Ventura: Pet Detective,1994,86.0
340,"The Adventures of Priscilla, Queen of the Desert",1994,104.0
341,Backbeat,1994,100.0
342,Bitter Moon,1992,139.0
343,Bullets Over Broadway,1994,98.0
344,Clear and Present Danger,1994,141.0
345,The Client,1994,119.0
346,"Corrina, Corrina",1994,115.0
347,Crooklyn,1994,115.0
348,The Crow,1994,102.0
349,Cobb,1994,128.0
350,The Flintstones,1994,91.0
351,Forrest Gump,1994,142.0
352,Four Weddings and a Funeral,1994,117.0
353,Higher Learning,1995,127.0
354,I Like It Like That,1994,104.0
355,I Love Trouble,1994,123.0
356,It Could Happen to You,1994,101.0
357,The Jungle Book,1994,111.0
358,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,180.0
359,The Lion King,1994,89.0
360,Little Buddha,1993,140.0
361,New Nightmare,1994,112.0
362,The Mask,1994,101.0
363,Maverick,1994,127.0
364,Mrs. Parker and the Vicious Circle,1994,125.0
365,The Naked Gun 33⅓: The Final Insult,1994,83.0
366,The Paper,1994,112.0
367,Reality Bites,1994,99.0
368,Red Rock West,1993,98.0
369,Ri¢hie Ri¢h,1994,95.0
370,Safe Passage,1994,98.0
371,The River Wild,1994,111.0
372,Speed,1994,116.0
373,Speechless,1994,99.0
374,Timecop,1994,99.0
375,True Lies,1994,141.0
376,When a Man Loves a Woman,1994,126.0
377,Wolf,1994,125.0
378,Wyatt Earp,1994,191.0
379,Bad Company,1995,108.0
380,A Man of No Importance,1994,99.0
381,S.F.W.,1994,96.0
382,A Low Down Dirty Shame,1994,100.0
383,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,91.0
384,Colonel Chabert,1994,110.0
385,"Faster, Pussycat! Kill! Kill!",1965,83.0
386,Jason's Lyric,1994,119.0
387,The Secret Adventures of Tom Thumb,1993,61.0
388,Street Fighter,1994,102.0
389,Coldblooded,1995,92.0
390,Desert Winds,1997,97.0
391,Fall Time,1995,88.0
392,The Fear,1995,98.0
393,Frank and Ollie,1995,89.0
394,Girl in the Cadillac,1995,89.0
395,Homage,1995,97.0
396,Mirage,1995,92.0
397,Open Season,1996,97.0
398,Dos Crímenes,1995,0.0
399,Brother Minister: The Assassination of Malcolm X,1995,115.0
400,Highlander: The Final Dimension,1994,99.0
401,Federal Hill,1995,97.0
402,In the Mouth of Madness,1994,95.0
403,8 Seconds,1994,105.0
404,Above the Rim,1994,96.0
405,Addams Family Values,1993,94.0
406,Martin Lawrence: You So Crazy,1994,84.0
407,The Age of Innocence,1993,139.0
408,Airheads,1994,92.0
409,The Air Up There,1994,107.0
410,Another Stakeout,1993,105.0
411,Bad Girls,1994,99.0
412,Barcelona,1994,100.0
413,Being Human,1994,122.0
414,The Beverly Hillbillies,1993,93.0
415,Beverly Hills Cop III,1994,104.0
416,Black Beauty,1994,88.0
417,Blink,1994,106.0
418,Blown Away,1994,121.0
419,Blue Chips,1994,108.0
420,Blue Sky,1994,101.0
421,Body Snatchers,1993,87.0
422,Boxing Helena,1993,107.0
423,A Bronx Tale,1993,121.0
424,Cabin Boy,1994,80.0
425,Calendar Girl,1993,90.0
426,Carlito's Way,1993,144.0
427,City Slickers II: The Legend of Curly's Gold,1994,116.0
428,Clean Slate,1994,107.0
429,Cliffhanger,1993,112.0
430,Coneheads,1993,88.0
431,Color of Night,1994,121.0
432,Cops & Robbersons,1994,93.0
433,The Cowboy Way,1994,102.0
434,Dangerous Game,1993,108.0
435,Dave,1993,110.0
436,Dazed and Confused,1993,102.0
437,Demolition Man,1993,115.0
438,The Endless Summer 2,1994,109.0
439,Even Cowgirls Get the Blues,1994,96.0
440,Fatal Instinct,1993,91.0
441,Farewell My Concubine,1993,171.0
442,The Favor,1994,97.0
443,Fearless,1993,122.0
444,Fear of a Black Hat,1994,88.0
445,With Honors,1994,103.0
446,Flesh and Bone,1993,126.0
447,Widows' Peak,1994,101.0
448,For Love or Money,1993,94.0
449,The Firm,1993,154.0
450,Free Willy,1993,112.0
451,Fresh,1994,114.0
452,The Fugitive,1993,130.0
453,Geronimo: An American Legend,1993,115.0
454,The Getaway,1994,115.0
455,Getting Even with Dad,1994,109.0
456,Go Fish,1994,83.0
457,A Good Man in Africa,1994,94.0
458,Guilty as Sin,1993,107.0
459,Hard Target,1993,97.0
460,Heaven & Earth,1993,140.0
461,Hot Shots! Part Deux,1993,86.0
462,Live Nude Girls,1995,95.0
463,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,99.0
464,The House of the Spirits,1993,140.0
465,House Party 3,1994,100.0
466,The Hudsucker Proxy,1994,111.0
467,I'll Do Anything,1994,115.0
468,In the Army Now,1994,91.0
469,In the Line of Fire,1993,128.0
470,In the Name of the Father,1993,133.0
471,The Inkwell,1994,110.0
472,What's Love Got to Do with It,1993,118.0
473,Jimmy Hollywood,1994,112.0
474,Judgment Night,1993,110.0
475,Jurassic Park,1993,127.0
476,Kalifornia,1993,117.0
477,Killing Zoe,1993,96.0
478,King of the Hill,1993,103.0
479,Lassie,1994,94.0
480,Last Action Hero,1993,130.0
481,Life With Mikey,1993,91.0
482,Lightning Jack,1994,98.0
483,M. Butterfly,1993,101.0
484,Made in America,1993,111.0
485,Malice,1993,107.0
486,The Man without a Face,1993,114.0
487,Manhattan Murder Mystery,1993,104.0
488,Menace II Society,1993,97.0
489,Executive Decision,1996,133.0
490,In the Realm of the Senses,1976,105.0
491,What Happened Was...,1994,91.0
492,Much Ado About Nothing,1993,111.0
493,Mr. Jones,1993,114.0
494,Mr. Wonderful,1993,98.0
495,Mrs. Doubtfire,1993,125.0
496,Naked,1993,131.0
497,The Next Karate Kid,1994,107.0
498,The New Age,1994,112.0
499,No Escape,1994,118.0
500,North,1994,87.0
501,Orlando,1992,93.0
502,A Perfect World,1993,138.0
503,Philadelphia,1993,125.0
504,The Piano,1993,121.0
505,Poetic Justice,1993,109.0
506,The Program,1993,112.0
507,The Puppet Masters,1994,109.0
508,Radioland Murders,1994,108.0
509,The Ref,1994,97.0
510,The Remains of the Day,1993,134.0
511,Renaissance Man,1994,128.0
512,Rising Sun,1993,125.0
513,The Road to Wellville,1994,118.0
514,RoboCop 3,1993,104.0
515,Robin Hood: Men in Tights,1993,104.0
516,Romeo Is Bleeding,1993,100.0
517,Romper Stomper,1992,94.0
518,Ruby in Paradise,1993,114.0
519,Rudy,1993,114.0
520,The Saint of Fort Washington,1993,99.0
521,Savage Nights,1992,126.0
522,Schindler's List,1993,195.0
523,The Scout,1994,101.0
524,Searching for Bobby Fischer,1993,110.0
525,Second Best,1994,105.0
526,The Secret Garden,1993,102.0
527,Serial Mom,1994,95.0
528,The Shadow,1994,108.0
529,Shadowlands,1993,131.0
530,Short Cuts,1993,187.0
531,A Simple Twist of Fate,1994,106.0
532,Sirens,1993,98.0
533,Six Degrees of Separation,1993,112.0
534,Sleepless in Seattle,1993,105.0
535,Sliver,1993,108.0
536,Blade Runner,1982,117.0
537,Son in Law,1993,95.0
538,So I Married an Axe Murderer,1993,93.0
539,Striking Distance,1993,102.0
540,Harem,1985,113.0
541,Super Mario Bros.,1993,104.0
542,Surviving the Game,1994,96.0
543,Terminal Velocity,1994,102.0
544,Thirty Two Short Films About Glenn Gould,1993,93.0
545,Threesome,1994,93.0
546,The Nightmare Before Christmas,1993,76.0
547,The Three Musketeers,1993,105.0
548,Tombstone,1993,130.0
549,Trial by Jury,1994,107.0
550,True Romance,1993,120.0
551,The War Room,1993,96.0
552,The Pagemaster,1994,80.0
553,"Paris, France",1994,112.0
554,"The Beans of Egypt, Maine",1994,0.0
555,Killer,1994,97.0
556,Welcome to the Dollhouse,1995,88.0
557,Germinal,1993,160.0
558,Chasers,1994,102.0
559,Cronos,1993,94.0
560,Naked in New York,1993,95.0
561,Kika,1993,117.0
562,Bhaji on the Beach,1994,100.0
563,Little Big League,1994,119.0
564,The Slingshot,1993,102.0
565,Wide Eyed and Legless,1993,102.0
566,Foreign Student,1994,90.0
567,"Ciao, Professore!",1992,100.0
568,Spanking the Monkey,1994,106.0
569,The Little Rascals,1994,82.0
570,À la mode,1993,82.0
571,Andre,1994,94.0
572,The Escort,1993,92.0
573,Princess Caraboo,1994,97.0
574,The Celluloid Closet,1996,102.0
575,Café au Lait,1993,94.0
576,Dear Diary,1993,100.0
577,I Don't Want to Talk About It,1993,106.0
578,The Brady Bunch Movie,1995,84.0
579,Home Alone,1990,103.0
580,Ghost,1990,127.0
581,Aladdin,1992,90.0
582,Terminator 2: Judgment Day,1991,137.0
583,Dances with Wolves,1990,181.0
584,Tough and Deadly,1995,92.0
585,Batman,1989,126.0
586,The Silence of the Lambs,1991,119.0
587,Snow White and the Seven Dwarfs,1937,83.0
588,Beauty and the Beast,1991,84.0
589,Pinocchio,1940,88.0
590,Pretty Woman,1990,119.0
591,Window to Paris,1993,87.0
592,The Wild Bunch,1969,145.0
593,Love and a .45,1994,101.0
594,The Wooden Man's Bride,1994,113.0
595,A Great Day in Harlem,1994,60.0
596,Bye Bye Love,1995,106.0
597,One Fine Day,1996,108.0
598,Candyman: Farewell to the Flesh,1995,93.0
599,Century,1993,112.0
600,Fargo,1996,98.0
601,Homeward Bound II: Lost in San Francisco,1996,89.0
602,Heavy Metal,1981,90.0
603,Hellraiser: Bloodline,1996,86.0
604,The Pallbearer,1996,97.0
605,Jane Eyre,1996,112.0
606,Loaded,1996,91.0
607,Bread and Chocolate,1974,100.0
608,The Aristocats,1970,78.0
609,The Flower of My Secret,1995,107.0
610,Two Much,1996,118.0
611,Ed,1996,94.0
612,Scream of Stone,1991,105.0
613,My Favorite Season,1993,127.0
614,A Modern Affair,1996,90.0
615,Condition Red,1995,83.0
616,Halfaouine: Boy of the Terraces,1990,98.0
617,A Thin Line Between Love and Hate,1996,108.0
618,The Last Supper,1995,92.0
619,Primal Fear,1996,129.0
620,Rude,1995,89.0
621,Carried Away,1996,109.0
622,All Dogs Go to Heaven 2,1996,82.0
623,Land and Freedom,1995,109.0
624,Denise Calls Up,1995,80.0
625,Theodore Rex,1995,92.0
626,A Family Thing,1996,109.0
627,Frisk,1996,88.0
628,Sgt. Bilko,1996,90.0
629,Jack & Sarah,1995,110.0
630,Girl 6,1996,108.0
631,Diabolique,1996,107.0
632,"Little Indian, Big City",1994,90.0
633,Roula,1995,97.0
634,Peanuts – Die Bank zahlt alles,1996,
635,Happy Weekend,1996,
636,Nelly and Monsieur Arnaud,1996,106.0
637,Courage Under Fire,1996,117.0
638,Mission: Impossible,1996,110.0
639,Cold Fever,1995,85.0
640,Moll Flanders,1996,123.0
641,The Superwife,1996,86.0
642,"301, 302",1995,100.0
643,DragonHeart,1996,103.0
644,Und keiner weint mir nach,1996,
645,My Mother's Courage,1995,93.0
646,Eddie,1996,100.0
647,Yankee Zulu,1993,100.0
648,Billy's Holiday,1995,92.0
649,Purple Noon,1960,115.0
650,August,1996,94.0
651,James and the Giant Peach,1996,79.0
652,Fear,1996,97.0
653,Kids in the Hall: Brain Candy,1996,89.0
654,Faithful,1996,91.0
655,Underground,1995,170.0
656,All Things Fair,1995,130.0
657,Bloodsport II,1996,90.0
658,Pather Panchali,1955,125.0
659,The World of Apu,1959,117.0
660,Mystery Science Theater 3000: The Movie,1996,73.0
661,Tarantella,1996,100.0
662,Space Jam,1996,88.0
663,Barbarella,1968,98.0
664,Hostile Intentions,1995,90.0
665,They Bite,1996,98.0
666,Some Folks Call It a Sling Blade,1994,25.0
667,The Run of the Country,1995,0.0
668,Alphaville,1965,100.0
669,Coup de Torchon,1981,128.0
670,Tigrero: A Film That Was Never Made,1994,75.0
671,The Eye of Vichy,1993,110.0
672,Windows,1980,96.0
673,It's My Party,1996,110.0
674,Country Life,1994,118.0
675,Operation Dumbo Drop,1995,107.0
676,The Promise,1995,115.0
680,Mrs. Winterbourne,1996,105.0
681,Solo,1996,94.0
682,Under The Domim Tree,1994,0.0
683,The Substitute,1996,114.0
684,True Crime,1996,94.0
685,Butterfly Kiss,1995,88.0
686,Feeling Minnesota,1996,99.0
687,Delta of Venus,1995,99.0
688,To Cross the Rubicon,1991,0.0
689,Angus,1995,90.0
690,Priest Daens,1992,138.0
691,Faces,1968,130.0
692,Boys,1996,86.0
693,The Quest,1996,95.0
694,Cosi,1996,102.0
695,Sunset Park,1996,99.0
696,Mulholland Falls,1996,107.0
697,The Truth About Cats & Dogs,1996,93.0
698,Oliver & Company,1988,74.0
699,Celtic Pride,1996,91.0
700,Flipper,1996,95.0
701,Captives,1994,100.0
702,Of Love and Shadows,1994,103.0
703,Dead Man,1995,121.0
704,The Horseman on the Roof,1995,135.0
705,Switchblade Sisters,1975,91.0
706,Mouth to Mouth,1995,106.0
707,The Visitors,1993,107.0
708,Multiplicity,1996,117.0
709,"The Haunted World of Edward D. Wood, Jr.",1996,112.0
710,Two Friends,2002,86.0
711,The Craft,1996,101.0
712,The Great White Hype,1996,91.0
713,Last Dance,1996,103.0
714,Cold Comfort Farm,1995,95.0
715,"Institute Benjamenta, or This Dream People Call Human Life",1995,104.0
716,Heaven's Prisoners,1996,132.0
717,Original Gangstas,1996,99.0
718,The Rock,1996,136.0
719,Getting Away with Murder,1996,91.0
720,Cemetery Man,1994,105.0
721,Twister,1996,113.0
722,Barb Wire,1996,98.0
723,Le Garçu,1995,102.0
724,Honeymoon,1996,92.0
725,Ghost in the Shell,1995,83.0
726,Thinner,1996,92.0
727,Spy Hard,1996,81.0
728,Brothers in Trouble,1995,102.0
729,A Close Shave,1995,30.0
730,Force of Evil,1948,78.0
731,The Stupids,1996,94.0
732,The Arrival,1996,115.0
733,The Man from Down Under,1943,103.0
734,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95.0
735,Careful,1992,100.0
736,A Month by the Lake,1995,92.0
737,Gold Diggers: The Secret of Bear Mountain,1995,94.0
738,Kim,1950,113.0
739,Carmen Miranda: Bananas Is My Business,1995,91.0
740,Ashes of Time,1994,100.0
741,The Jar,1994,86.0
742,Maya Lin: A Strong Clear Vision,1995,105.0
743,Stalingrad,1993,134.0
744,The Phantom,1996,100.0
745,Striptease,1996,115.0
746,The Last of the High Kings,1996,102.0
747,Heavy,1995,105.0
748,Jack,1996,113.0
749,I Shot Andy Warhol,1996,103.0
750,The Grass Harp,1995,107.0
751,Someone Else's America,1995,96.0
752,Life is Rosy,1987,80.0
753,Quartier Mozart,1992,80.0
754,Touki Bouki,1973,85.0
755,God's Gift,1982,75.0
756,Spirits of the Dead,1968,121.0
757,Babyfever,1994,109.0
758,Pharaoh's  Army,1995,90.0
759,Trainspotting,1996,93.0
760,Til There Was You,1997,113.0
761,Independence Day,1996,145.0
762,Stealing Beauty,1996,116.0
763,The Fan,1996,116.0
764,The Hunchback of Notre Dame,1996,91.0
765,The Cable Guy,1996,96.0
766,Kingpin,1996,113.0
767,Eraser,1996,115.0
768,The Gate of Heavenly Peace,1995,180.0
769,The Nutty Professor,1996,95.0
770,"I, the Worst of All",1990,105.0
771,An Unforgettable Summer,1994,82.0
772,A Hungarian Fairy Tale,1987,97.0
773,My Life and Times With Antonin Artaud,1993,90.0
774,Midnight Dancers,1994,100.0
775,Somebody to Love,1994,102.0
776,A Very Natural Thing,1974,80.0
777,The Old Lady Who Walked in the Sea,1991,0.0
778,Daylight,1996,115.0
779,The Frighteners,1996,110.0
780,Lone Star,1996,135.0
781,Harriet the Spy,1996,100.0
782,Phenomenon,1996,123.0
783,Walking and Talking,1996,86.0
784,She's the One,1996,96.0
785,A Time to Kill,1996,149.0
786,American Buffalo,1996,88.0
787,Rendezvous in Paris,1995,94.0
788,Alaska,1996,109.0
789,Fled,1996,98.0
790,Kazaam,1996,93.0
791,Magic Hunter,1994,106.0
792,Larger Than Life,1996,93.0
793,A Boy Called Hate,1996,0.0
794,Power 98,1996,89.0
795,Two Deaths,1995,102.0
796,A Very Brady Sequel,1996,90.0
797,Stefano Quantestorie,1993,82.0
798,Death in the Garden,1956,104.0
799,Hedd Wyn,1992,123.0
800,La Collectionneuse,1967,89.0
801,Kaspar Hauser,1993,139.0
802,Regular Guys,1996,100.0
803,Diebinnen,1996,
